keys,en,fr
___ LOADING SCREEN,,
Loading...,Loading...,Chargement...
___ DIALOGS IN GAME,,
You lose.,You lose.,Vous avez perdu.
You won!,You won!,Vous avez gagné !
Thanks for playing!,Thanks for playing!,Merci d'avoir joué !
Please Confirm...,Please Confirm...,Veuillez confirmer…
Go back to main menu?,Go back to main menu?,Retourner au menu principal ?
Quit the game?,Quit the game?,Quitter le jeu ?
Cancel,Cancel,Annuler
OK,OK,OK
___ OPTIONS MENU,,
Controls,Controls,Commandes
Mouse Sensitivity :,Mouse Sensitivity :,Sensibilité de la souris :
Actions & Inputs,Actions & Inputs,Actions et entrées
Add,Add,Ajouter
Remove,Remove,Supprimer
Assign Key for {action},Assign Key for {action},Attribuer une touche à {action}
Listening for input...,Listening for input...,Écoute des entrées…
Press again to confirm...,Press again to confirm...,Appuyez à nouveau pour confirmer…
Focus here to assign inputs.,Focus here to assign inputs.,Ciblez ici pour attribuer les entrées.
Already Assigned,Already Assigned,Déjà attribué
{key} already assigned to {action}.,{key} already assigned to {action}.,{key} est déjà attribué à {action}.
Remove Key for {action},Remove Key for {action},Supprimer la clé pour {action}
Are you sure you want to remove {key} from {action}?,Are you sure you want to remove {key} from {action}?,Êtes-vous sûr de vouloir supprimer {key} de {action} ?
Reset,Reset,Réinitialiser
Audio,Audio,Audio
Master :,Master :,Principal :
Music :,Music :,Musique :
SFX :,SFX :,Effets :
Ambient :,Ambient :,Ambiante :
Mute :,Mute :,Silencieux :
Video,Video,Vidéo
Fullscreen :,Fullscreen :,Plein écran :
Resolution :,Resolution :,Résolution :
Anti-Aliasing :,Anti-Aliasing :,Anticrénelage :
Disabled (Fastest),Disabled (Fastest),Désactivé (le plus rapide)
8x (Slowest),8x (Slowest),8x (le plus lent)
Camera Shake :,Camera Shake :,Tremblement de caméra :
Normal,Normal,Normal
Reduced,Reduced,Réduit
Minimal,Minimal,Minimal
None,None,Aucun
Game,Game,Jeu
Reset Game :,Reset Game :,Réinitialiser le jeu :
Do you want to reset your game data?,Do you want to reset your game data?,Voulez-vous réinitialiser vos données de jeu ?
Back,Back,Retour
_INGAME DIALOGUE,,
TAKE THEM!,TAKE THEM!,PRENEZ-LES !
"Take your documents, please.","Take your documents, please.","Prenez vos documents, s'il vous plaît."
STRIKE LIMIT REACHED!,STRIKE LIMIT REACHED!,LIMITE DE GRÈVE ATTEINTE !
Score:,Score:,Score
Quota:,Quota:,Quota
Strikes:,Strikes:,Grèves:
_SHIFT SUMMARY SCREEN,,
Continue,Continue,Continuer
Main Menu,Main Menu,Menu principal
Submit Score,Submit Score,Soumettre le score
Restart,Restart,Redémarrer
SHIFT SUMMARY,SHIFT SUMMARY,RÉSUMÉ DU QUART
_DIFFICULTY LEVELS,,
Easy,Easy,Facile
Normal,Normal,Moyen
Expert,Expert,Difficile
Primary,Primary,Principal
Secondary,Secondary,Secondaire
Primary Interaction,Primary Interaction,Interaction principale
Secondary Interaction,Secondary Interaction,Interaction secondaire
Cancel Interaction,Cancel Interaction,Annuler l'interaction
Escape,Escape,Échap
Dialogic Default Action,Dialogic Default Action,Action par défaut de la boîte de dialogue
Enter,Enter,Entrée
Left Mouse Button,Left Mouse Button,Bouton gauche de la souris
Right Mouse Button,Right Mouse Button,Bouton droit de la souris
_NEW GAME CONFIRMATION,,
Start New Game,Start New Game,Commencer une nouvelle partie
Starting a new game will reset your progress. Are you sure you want to continue?,Starting a new game will reset your progress. Are you sure you want to continue?,Commencer une nouvelle partie réinitialisera votre progression. Voulez-vous vraiment continuer ?
"Yes, Start New Game","Yes, Start New Game","Oui, commencer une nouvelle partie"
Skip,Skip,Passer
History,History,Histoire
Return,Return,Retour
Restart the game?,Restart the game?,Redémarrer le jeu ?
