keys,pl
alert_border_runner,"NARUSZYCIEL GRANICY WYKRYTY!\nKliknij, aby wystrzelić pocisk!"
alert_rejected_fleeing,"ODRZUCONY ZIEMNIAK UCIEKA!\nKliknij, aby wystrzelić pocisk!"
alert_runner_escaped,UCIEKINIER ZBIEGŁ!\nDodano Strike!
alert_points_deducted,UCIEKINIER ZBIEGŁ!\nDodano Strike!\n-{penalty} punktów!
alert_perfect_hit,IDEALNY STRZAŁ! +{perfect} punktów bonusu celności
alert_perfect_stamp,IDEALNY STEMPEL! +{points} punktów!
alert_combo,COMBO x{mult}! +{streak} punktów bonusu combo
alert_quota_met,"Limit osiągnięty, zmiana zakończona! \nBonus: {bonus} punktów!"
alert_strike_removed,Strike usunięty!
alert_correct_decision,"Podjąłeś słuszną decyzję, funkcjonariuszu.\n+{points} punktów!"
alert_wrong_decision,"Spowodowałeś niepotrzebne cierpienie, funkcjonariuszu...\n+1 Strike!"
alert_potato_should_be_approved,\nTen ziemniak spełnia wszystkie wymagania i powinien zostać zatwierdzony.
alert_strike_out,Maksymalna liczba uderzeń przekroczona! Twoja zmiana dobiegła końca.
ui_score,Wynik: {score}
ui_quota,Limit: {current} / {target}
ui_strikes,Upomnienia: {current} / {max}
ui_click_megaphone,"Kliknij megafon, aby wezwać następnego ziemniaka"
ui_drag_document,Przeciągnij dokument do stolika inspekcyjnego
ui_stamp_document,"Wybierz stempel, aby zatwierdzić lub odrzucić"
ui_check_violations,Sprawdź naruszenia dokumentu
Strike removed!,Strike usunięty!
BORDER RUNNER DETECTED!\nClick to launch missile!,"NARUSZYCIEL GRANICY WYKRYTY!\nKliknij, aby wystrzelić pocisk!"
REJECTED POTATO FLEEING!\nClick to launch missile!,"ODRZUCONY ZIEMNIAK UCIEKA!\nKliknij, aby wystrzelić pocisk!"
RUNNER ESCAPED!\nStrike added!,UCIEKINIER ZBIEGŁ!\nDodano Strike!
Click megaphone to call the next potato,"Kliknij megafon, aby wezwać następnego ziemniaka"
Drag document to inspection table,Przeciągnij dokument do stolika inspekcyjnego
Select a stamp to approve or reject,"Wybierz stempel, aby zatwierdzić lub odrzucić"
Check for document violations,Sprawdź naruszenia dokumentu
rule_explanation_header,WYJAŚNIENIE ZASADY:
rule_explanation_fresh,Se på 'Tilstand' feltet. Hvis det sier noe annet enn 'Fersk' - AVVIS
rule_explanation_sweet_potato,Spójrz na pole 'Typ'. Jeśli mówi 'Słodki Ziemniak' - ODRZUĆ (brak zezwoleń)
rule_explanation_chip_hill,Spójrz na pole 'Kraj'. Jeśli mówi 'Chip Hill' - ODRZUĆ (zabronione)
rule_explanation_age,Spójrz na pole 'Data Urodzenia'. Oblicz wiek i sprawdź względem reguły
rule_explanation_gender,Spójrz na pole 'Płeć' i sprawdź względem bieżącej reguły
rule_footer_text,Te zasady muszą być egzekwowane dla WSZYSTKICH ziemniaków
rule_tutorial_hint,Potrzebujesz pomocy? Kliknij dowolną zasadę
alert_correct_decision_detailed,POPRAWNA DECYZJA! +{points} punktów\n{reason}
alert_wrong_decision_detailed,ZŁA DECYZJA! Dodano Strike!\n{reason}
alert_reason_approved,Ziemniak spełnia wszystkie wymagania - ZATWIERDZONY
alert_reason_should_reject,Powinieneś był ODRZUCIĆ tego ziemniaka
tutorial_check_type,Sprawdź pole 'Typ' w paszporcie
tutorial_check_condition,Sprawdź pole 'Stan' w paszporcie
tutorial_check_country,Sprawdź pole 'Kraj' w paszporcie
tutorial_check_age,Sprawdź 'Datę Urodzenia' aby obliczyć wiek
tutorial_check_gender,Sprawdź pole 'Płeć' w paszporcie
alert_streak_bonus_minigame,5 z rzędu! BONUSOWA MINIGRA!
alert_perfect_stamps_bonus_minigame,Idealne stemple! BONUSOWA MINIGRA!
alert_new_minigame_unlocked,Nowa minigra odblokowana: {name}!
alert_minigame_bonus,Bonus z minigry: +{bonus} punktów!
high_score_display,Najlepszy wynik: {score}
new_high_score,NOWY NAJLEPSZY WYNIK!
