keys,fr
Text/56/text,Bienvenue dans la nation de la Pomme de Terre. Un pays de [pulse freq=2][color=MEDIUM_VIOLET_RED]prospérité pour toutes les pommes de terre[/color][/pulse].
Text/57/text,Vous avez été sélectionné pour un [color=DARK_ORANGE]rôle crucial[/color] dans la protection de nos frontières.
Text/59/text,"CONTEMPLEZ ! Le [color=MEDIUM_VIOLET_RED]puissant mur[/color] qui protège notre nation. C'est ici que vous servirez, veillant à ce que seuls les dignes entrent."
Text/5a/text,"Ah, le nouveau bourgeon. Écoutez attentivement, votre rôle est [color=DARK_ORANGE]vital pour la sécurité de la Pomme de Terre[/color]."
Text/184/text,Le bien-être de votre famille [wave amp=20 freq=3][color=YELLOW]dépend de votre performance[/color][/wave].
Text/5b/text,Je vous nomme Officier des Douanes de [pulse freq=1][color=MEDIUM_VIOLET_RED]la glorieuse Pomme de Terre[/color][/pulse]. Des questions ?
Choice/5c/text,Je suis prêt à servir la Pomme de Terre de toute mon amidon !
Choice/5d/text,Que deviennent exactement les pommes de terre rejetées ?
Text/5e/text,Excellent ! C'est le genre d'enthousiasme dont nous avons besoin. Vous pourriez mériter une distinction de la [color=DARK_VIOLET]Réserve Racine[/color].
Text/5f/text,Elles sont... [color=DARK_VIOLET]traitées[/color]. Selon le protocole. La [color=DARK_VIOLET]Réserve Racine[/color] gère tous les détails.
Text/60/text,Concentrez-vous sur vos fonctions. [color=DARK_ORANGE]Rien de plus.[/color]
Text/61/text,"Votre première garde commence maintenant. Vérifiez soigneusement les papiers, refusez ceux qui ne répondent pas à nos normes."
Text/62/text,"Remplissez votre quota, évitez les sanctions. [color=MEDIUM_VIOLET_RED]Gloire à la Pomme de Terre ![/color]"
Choice/5d/disabled_text,
Choice/5c/disabled_text,
