keys,da
Text/86/text,Nye sikkerhedsprotokoller i dag. Vi har modtaget efterretninger om [color=YELLOW]mistænkelige aktiviteter[/color].
Text/87/text,Alle rejsende skal igennem udvidede inspektionsprocedurer.
Text/88/text,"Hold øje med [color=YELLOW]nervøs adfærd, usædvanlige manerer eller modvilje mod at lave øjenkontakt[/color]."
Text/89/text,"Alle mistænkelige genstande skal konfiskeres og registreres. For Spuds sikkerhed, naturligvis."
Text/8a/text,"Vi er især bekymrede for [color=CRIMSON]forbudte materialer[/color] - anti-statslig litteratur, fotografisk udstyr..."
Text/8b/text,"Deres stemme falder truende. ""[pulse freq=2][color=DARK_VIOLET]Vi har særlige procedurer for disse individer.[/color][/pulse]"""
Text/8c/text,"[wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] lastbiler losser kasser mærket ""Premium Reserve"" i kantinen. Lugten er lokkende, men maven vender sig."
Text/8d/text,Har du prøvet den nye Premium Reserve? Min fætter forsvandt sidste måned. Bestod ikke kontrollen.
Text/8e/text,"Måske er han en del af dette parti, hva'? [tornado radius=2 freq=2][color=STEEL_BLUE]Sort humor, ved du?[/color][/tornado]"
Choice/8f/text,Det er ikke sjovt. Slet ikke.
Choice/90/text,Jeg er ikke sulten. Undskyld. (Forlad)
Text/91/text,Du har ret. Nogle gange er det nemmere at joke end at tænke på [pulse freq=3][color=CRIMSON]hvad der måske faktisk sker[/color][/pulse].
Text/92/text,"Betjenten ser dig forlade. ""Jeg forstår det. Jeg har også mistet appetitten..."""
Text/93/text,"Belejlig timing for nye sikkerhedsprotokoller, ikke? [wave amp=15 freq=3][color=YELLOW]De forsøger at stoppe information om Root Reserve.[/color][/wave]"
Text/94/text,"Jeg har noget, der kan hjælpe os. Nogle kartofler med [color=CHARTREUSE]vigtige oplysninger fortjener at komme igennem[/color]."
Text/95/text,Du overvejer dine muligheder omhyggeligt. Dagens valg kunne hjælpe med at [color=CHARTREUSE]sprede sandheden[/color]... eller [color=CRIMSON]tie den ihjel for evigt[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
