keys,no
Text/140/text,"Grensen ligner en [pulse freq=3][color=CRIMSON]krigssone[/color][/pulse]. Barrikader, pansrede kjøretøy og elitevakter står klare. I dag er når motstanden planla å slå til."
Text/141/text,"[wave amp=25 freq=3][color=YELLOW]NØDKRINGKASTING[/color][/wave]: Hele Spud er under [color=RED]unntakstilstand[/color]. ""Motstanden"" har lansert angrep mot offentlige bygninger."
Text/142/text,Alle som hjelper disse [color=CRIMSON]ekstremistene[/color] står overfor [color=DARK_VIOLET]umiddelbar prosessering[/color]. Departementet bekrefter: [color=DARK_VIOLET]Root Reserve[/color] forblir trygt for alle [color=DARK_ORANGE]lojale poteter[/color].
Text/143/text,[color=YELLOW]Opptøyer har brutt ut[/color] i flere sektorer. Motstandsceller har angrepet tre [color=DARK_VIOLET]Root Reserve[/color] anlegg.
Text/144/text,Målet deres: få tilgang til den sentrale databasen med alle produksjonsregistre. Ethvert tegn på illojalt betyr prosessering.
Text/145/text,"Vi har fanget flere motstandsoperatører, inkludert Offiser Sasha."
Text/146/text,De [tornado radius=3 freq=2][color=CRIMSON]virkelige forræderne[/color][/tornado] er de som [color=DARK_VIOLET]mater folket vårt til hverandre[/color]. Dere kan ikke stoppe sannheten!
Text/147/text,"Hun blir dratt bort, mens hun fortsatt roper: [color=CHARTREUSE]Folket vil vite hva som er i maten deres![/color]"
Text/148/text,"[color=CRIMSON]Forræderen[/color] vil bli [pulse freq=3][color=DARK_VIOLET]prosessert umiddelbart[/color][/pulse]. En spesiell batch av [color=DARK_VIOLET]Root Reserve[/color], laget av terroristene selv."
Text/149/text,Alle grenseoverganger er [color=RED]stengt[/color] unntatt for essensielt personell med [color=GOLD]Nivå Alpha-klarering[/color].
Text/14a/text,Denne skanneren [color=YELLOW]kan ikke lures[/color]. Utløs alarmen umiddelbart for alle uten riktig klarering.
Text/14b/text,En potet i offisiell uniform nærmer seg med tilsynelatende perfekte Alpha-legitimasjon.
Text/14c/text,"Et lite blått kort faller fra mappen. ""[wave amp=15 freq=3][color=CHARTREUSE]Røttene vokser dypt.[/color][/wave]"", mumler de mens de plukker opp kortet."
Choice/14d/text,"Prosesser dem gjennom, ignorer skanner-alarmene (Hjelp motstanden)"
Choice/14e/text,Utløs alarmen umiddelbart (Forråd motstanden)
Text/14f/text,"Lettelse vises i øynene deres. ""[color=CHARTREUSE]For Sasha. For Spud.[/color]"" De forsvinner mot den sentrale databasen."
Text/150/text,"Skrekk går opp for dem. ""[color=CRIMSON]Du forræder! Vi stolte på deg![/color]"" De blir raskt omringet av vakter."
Text/151/text,Utmerket arbeid. Din lojalitet vil bli belønnet.
Text/152/text,"Plutselig [color=YELLOW]rister anlegget av eksplosjoner[/color]. Motstandsangrepet har begynt, uavhengig av ditt valg."
Text/153/text,"Skal jeg bli på min post og håpe dette går over, eller [color=CHARTREUSE]ta et standpunkt[/color] og risikere alt for å avsløre sannheten?"
Choice/154/text,Jeg kan ikke forlate min plikt. Jeg vil holde meg stille og håpe på det beste.
Choice/155/text,Jeg har vært medskyldig for lenge. Det er på tide å kjempe for det som er rett.
Choice/155/disabled_text,
Choice/14d/disabled_text,
Choice/154/disabled_text,
Choice/14e/disabled_text,
