keys,ro
Text/d2/text,"După tura ta, ești condus la o întâlnire secretă a rezistenței într-o fabrică abandonată de amidon."
Text/d3/text,"Un cartof uzat, cu cicatrici de luptă, se adresează grupului adunat."
Text/d4/text,Timpul pentru șoapte și pamflete s-a terminat. Guvernul și-a arătat adevăratele culori.
Text/d5/text,Sursele noastre confirmă că fabricile de procesare [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] își cresc producția.
Text/d6/text,"Ceea ce înseamnă [tornado radius=3 freq=3][color=CRIMSON]mai mulți dintre frații și surorile noastre dispăruți, procesați, consumați[/color][/tornado]."
Text/d7/text,Liderul lovește cu pumnul în masă. [pulse freq=3][color=CHARTREUSE]Asta se termină acum.[/color][/pulse] Avem un plan de a lovi în inima operațiunii lor.
Text/d8/text,"Sasha desfășoară planuri detaliate pe masă. În trei zile, vom lansa ofensiva noastră principală."
Text/d9/text,"În timp ce o echipă creează o diversiune la complexul guvernamental principal, alta va infiltra cea mai mare facilitate Root Reserve."
Text/da/text,"Obiectivul nostru: să obținem [color=CHARTREUSE]dovezi irefutabile[/color] despre ce se întâmplă înăuntru, să le transmitem în tot Spud."
Text/db/text,Sasha indică o secțiune a planurilor. Aici intri tu în scenă.
Text/dc/text,Avem nevoie de cineva din interiorul Vămii Spud pentru a ne asigura că operativii noștri pot traversa granița pentru misiune.
Text/dd/text,Putem conta pe tine să fii acea persoană?
Choice/de/text,Voi face tot ce este necesar pentru a dezvălui adevărul.
Choice/df/text,Sună periculos. Dar dacă suntem prinși?
Choice/e0/text,Există o altă cale care să nu pună atât de mulți în pericol?
Text/e1/text,Fața Sashei se luminează de speranță. Mulțumesc. [color=CHARTREUSE]Curajul tău va salva nenumărate vieți.[/color]
Text/e2/text,"Îți strânge mâna. Când totul se va termina, [color=CHARTREUSE]vei fi ținut minte ca un erou al revoluției.[/color]"
Text/e3/text,Sasha dă din cap solemn. Este periculos. Nu te voi minți despre asta.
Text/e4/text,Am putea cu toții să sfârșim [color=DARK_VIOLET]procesați în Root Reserve[/color] dacă eșuăm.
Text/e5/text,"Dar a nu face nimic este și mai periculos. Pentru noi toți, pe termen lung."
Text/e6/text,Expresia Sashei devine sumbră. Am încercat alte căi. Ani de zile.
Text/e7/text,Petiții. Diplomație tăcută. Informații anonime. Nimic nu a funcționat.
Text/e8/text,Uneori trebuie să riști totul pentru a schimba ceva.
Text/e9/text,O dezbatere aprinsă izbucnește printre membrii rezistenței.
Text/ea/text,Unii pledează pentru o abordare mai agresivă — distrugerea completă a fabricilor de procesare.
Text/eb/text,Alții insistă că acțiunea violentă va întoarce doar opinia publică împotriva lor.
Text/ec/text,DESTUL! Liderul liniștește încăperea cu o voce autoritară.
Text/ed/text,"Nu ne putem permite să fim divizați. Nu acum, când suntem atât de aproape."
Text/ee/text,Scopul nostru este simplu: să dezvăluim adevărul. Lăsați oamenii să decidă ce se întâmplă în continuare.
Text/ef/text,Liderul se întoarce pentru a ți se adresa direct. Dar trebuie să știm [color=YELLOW]unde te situezi[/color].
Text/f0/text,"În trei zile, agenții noștri se vor apropia de punctul tău de control. Vor purta [color=CHARTREUSE]carduri de identificare albastre[/color]."
Text/f1/text,Îi vei ajuta să treacă? Răspunsul tău acum va determina următoarea noastră mișcare.
Choice/f2/text,Îi voi ajuta să treacă. Pentru viitorul lui Spud.
Choice/f3/text,"Nu pot fi implicat direct, dar voi privi în altă parte."
Choice/f4/text,Am nevoie de mai mult timp să mă gândesc la asta.
Text/f5/text,Liderul îți strânge umărul cu fermitate. [color=CHARTREUSE]Curajul tău ne onorează pe toți.[/color]
Text/f6/text,"În a treia zi, când soarele e cel mai sus, agenții noștri vor veni."
Text/f7/text,"Parola este ""[wave amp=15 freq=3][color=CHARTREUSE]Rădăcinile cresc adânc.[/color][/wave]"" Ține minte."
Text/f8/text,"Liderul dă din cap încet, evident dezamăgit, dar înțelegător."
Text/f9/text,"Uneori, cel mai mult ce putem cere este ca oamenii să nu ne stea în cale."
Text/fa/text,Agenții noștri vor proceda conform planului. Doar... nu da alarma.
Text/fb/text,Expresia liderului se înăsprește. [color=YELLOW]Timpul e un lux pe care nu-l avem.[/color]
Text/fc/text,Dar a forța pe cineva să se alăture cauzei noastre nu ne face mai buni decât ei.
Text/fd/text,Vom continua fără să contăm pe ajutorul tău. Caută-ți în conștiință.
Text/fe/text,"Pe măsură ce întâlnirea se încheie, Sasha merge cu tine înapoi spre punctul de control."
Text/ff/text,Orice s-ar întâmpla... mulțumesc pentru tot ce ai făcut.
Text/100/text,"Te întorci la cazarea ta de la punctul de control, mintea îți gonește sub greutatea evenimentelor ce vor urma."
Text/101/text,"În doar trei zile, totul s-ar putea schimba. [color=YELLOW]În bine sau în rău.[/color]"
Choice/de/disabled_text,
Choice/f4/disabled_text,
Choice/f3/disabled_text,
Choice/f2/disabled_text,
Choice/e0/disabled_text,
Choice/df/disabled_text,
