keys,it
Text/a6/text,La struttura di frontiera oggi sembra diversa. Tesa. Pattuglie di sicurezza in numero maggiore mentre un silenzio cauto sostituisce le chiacchiere.
Text/a7/text,"La notte scorsa, sono stati scoperti [pulse freq=2][color=CRIMSON]materiali proibiti[/color][/pulse]. Volantini contenenti menzogne su [color=DARK_VIOLET]Root Reserve[/color]."
Text/a8/text,Stiamo implementando [wave amp=15 freq=2][color=DARK_ORANGE]protocolli di livello di minaccia ARANCIONE[/color][/wave]. Tutti gli ufficiali sono soggetti a controlli di lealtà. Tutti i viaggiatori affrontano il massimo scrutinio.
Text/a9/text,Sta funzionando. I volantini si stanno diffondendo. Le persone stanno facendo domande su [color=DARK_VIOLET]Root Reserve[/color].
Text/aa/text,Ho fonti che mi dicono che c'è un registro di spedizioni nell'ufficio di Russet - manifesti di trasporto che potrebbero [tornado radius=3 freq=2][color=CHARTREUSE]provare tutto[/color][/tornado].
Text/ab/text,"Ho bisogno che tu mi aiuti a ottenerlo. Stasera, dopo l'ultimo turno. Posso contare su di te?"
Choice/ac/text,Ci sto. Esponiamo la verità.
Choice/ad/text,"Non lo so, Sasha... potrebbe essere pericoloso."
Text/ae/text,Grazie al cielo. Sapevo che avevi [color=CHARTREUSE]radici più forti degli altri[/color]. Ci incontreremo a mezzanotte.
Text/af/text,A volte dobbiamo [color=CHARTREUSE]rischiare di essere schiacciati per fare ciò che è giusto[/color]. Pensaci.
Text/b0/text,"[color=DARK_ORANGE]Controllo di lealtà[/color]. Per favore, dichiara il tuo nome e ID ufficiale. Poi dimmi perché servi Spud."
Choice/b1/text,Servo per proteggere i nostri confini da influenze pericolose.
Choice/b2/text,Servo per garantire che tutti ricevano un trattamento equo.
Text/b3/text,"Buona risposta. Spud ha bisogno di protettori leali. Lo scanner segna verde. Continua, ufficiale."
Text/b4/text,"Le sopracciglia dell'ufficiale si alzano. Trattamento equo? Lo scanner lampeggia [color=DARK_ORANGE]ambra[/color]. Ricorda, la nostra preoccupazione principale è la sicurezza, non l'equità."
Text/b5/text,La quota di oggi è stata aumentata. Chiunque con materiali sospetti deve essere segnalato per [color=DARK_VIOLET]elaborazione speciale[/color].
Text/b6/text,[color=DARK_ORANGE]Osserverò le tue decisioni[/color] molto attentamente oggi.
Text/b7/text,"Stasera potrebbe cambiare tutto. Ma prima, [color=YELLOW]sopravvivi alla giornata senza destare sospetti[/color]."
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
