keys,es
Text/131/text,"Te agachas mientras la batalla ruge. Lo siento, Sasha. [color=STEEL_BLUE]No soy tan valiente como tú[/color]."
Text/132/text,¡El [color=CRIMSON]ataque terrorista[/color] ha sido repelido! Los cabecillas están siendo [color=DARK_VIOLET]procesados[/color] mientras hablamos.
Text/133/text,"El Jefe Yukon arrastra miembros de la resistencia encadenados, Sasha entre ellos. ""Estos [color=CRIMSON]traidores[/color] enfrentarán [color=DARK_VIOLET]procesamiento final[/color]."""
Text/134/text,"Sasha te mira a los ojos. A pesar de sus moretones, su mirada contiene [wave amp=15 freq=2][color=CHARTREUSE]no juicio, solo tristeza[/color][/wave]."
Text/135/text,"Has sobrevivido manteniendo la cabeza baja, pero [pulse freq=3][color=GOLD]¿a qué precio?[/color][/pulse] Mientras la producción de [color=DARK_VIOLET]Reserva Raíz[/color] emana de la planta, tu estómago se revuelve."
Text/136/text,Quizás todavía haya una oportunidad desde dentro. O tal vez solo estás calmando tu conciencia.
Text/137/text,[tornado radius=3 freq=2][color=CHARTREUSE]Abandonas tu puesto[/color][/tornado] y corres hacia la lucha. El tiempo para la cautela ha terminado.
Text/138/text,[pulse freq=3][color=GOLD]¡Demuestra que estás con nosotros![/color][/pulse] ¿Cómo conoces a Sasha?
Text/139/text,"[color=CHARTREUSE]¡Las raíces crecen profundo![/color] ¡Soy del puesto de control, Sasha me reclutó!"
Text/13a/text,La están llevando a la planta de procesamiento ahora mismo. ¡Tenemos que darnos prisa!
Text/13b/text,"Las puertas explotan, revelando la [wave amp=25 freq=3][color=CRIMSON]horrible verdad[/color][/wave] - máquinas trituradoras, cintas transportadoras llevando patatas a su perdición."
Text/13c/text,Al final de una cinta - Sasha y otros [color=CRIMSON]atados sin poder hacer nada[/color]. El Supervisor Russet está en los controles.
Text/13d/text,[color=RED]¡TÚ![/color] ¡Debería haber sabido que eras uno de ellos! ¡Retrocede o enciendo el procesador!
Text/13e/text,"Mientras los combatientes de la resistencia dominan a Russet, Sasha redirige las cámaras de la instalación. [color=YELLOW]¡Gente de Spud! ¡Esto es Reserva Raíz! ¡Nos han estado alimentando unos con otros![/color]"
Text/13f/text,Volviste por mí. [color=CHARTREUSE]Lo hicimos. La verdad está afuera ahora.[/color] ¡Tenemos un futuro que construir!
