keys,nl
Text/b8/text,"De grensinstallatie is volledig afgesloten, met gewapende beveiliging die elke gang patrouilleert."
Text/b9/text,[pulse freq=3][color=RED]ATTENTIE! NIVEAU ROOD veiligheidssituatie![/color][/pulse] Geclassificeerde documenten zijn gisteravond gestolen.
Text/ba/text,"We hebben een [tornado radius=4 freq=3][color=CRIMSON]verrader in ons midden[/color][/tornado]. Iedereen die informatie achterhoudt, wordt als medeplichtig behandeld."
Text/bb/text,"Alle officieren, stel u op voor [wave amp=15 freq=2][color=DARK_ORANGE]veiligheidsscanning[/color][/wave]. Degenen met verhoogde stressreacties worden gemarkeerd."
Text/bc/text,Heb je gezien wat er buiten gebeurt? Overal pamfletten die tonen dat [color=DARK_VIOLET]Root Reserve[/color] gemaakt is van... [pulse freq=3][color=CRIMSON]van ons[/color][/pulse].
Choice/bd/text,Praat zachter. We worden allemaal in de gaten gehouden.
Choice/be/text,Ik heb dezelfde geruchten gehoord. Het is verschrikkelijk als het waar is.
Choice/bf/text,Dat is belachelijke propaganda. Verspreid zulke leugens niet.
Text/c0/text,Je hebt gelijk. Maar als het waar is... wat maakt dat van ons?
Text/c1/text,Mijn neef werd vorige maand afgewezen. Betekent dat...? Ik [color=CHARTREUSE]kan dit niet meer aan[/color].
Text/c2/text,Hun gezichtsuitdrukking wordt gereserveerd. Natuurlijk. Voor altijd loyaal aan Spud.
Text/c3/text,Geef uw verblijfplaats op van gisteravond tussen 22:00 en 04:00 uur.
Choice/c4/text,"Ik was de hele nacht in mijn kwartier, slapend."
Choice/c5/text,Ik zou eerst met mijn juridisch vertegenwoordiger willen spreken.
Text/c6/text,Uw stressniveaus duiden op [color=YELLOW]misleiding[/color]. Echter... niet doorslaggevend. U mag voorlopig gaan.
Text/c7/text,"Juridisch vertegenwoordiger? Dit is een veiligheidsprocedure, geen rechtszaak. Uw weigering is genoteerd."
Text/c8/text,"Het werkt. De manifesten hebben opschudding veroorzaakt, maar [color=DARK_ORANGE]Russet verdenkt ons[/color]."
Text/c9/text,Let op bondgenoten van onze organisatie tijdens de dienst van vandaag. [color=CHARTREUSE]Je zult ze herkennen[/color].
Text/ca/text,"Als je ze veilig door kunt krijgen, gebruik dan [color=CHARTREUSE]het speciale teken waarover we hebben gesproken[/color]."
Choice/cb/text,Het is het risico waard. Ik doe mee.
Choice/cc/text,Dit wordt te gevaarlijk. Misschien moeten we ons gedeisd houden.
Text/cd/text,"Ik wist dat ik op je kon rekenen. Als dit voorbij is, [color=CHARTREUSE]zal Spud weten wie de echte helden waren[/color]."
Text/ce/text,We zijn dat punt al lang voorbij. Ons gedeisd houden zal ons niet redden. [color=CHARTREUSE]Alleen het systeem omverwerpen zal dat doen[/color].
Text/cf/text,Elk station heeft nu het nieuwe [color=DARK_ORANGE]RealityScan-systeem[/color]. Het detecteert ongeautoriseerde markeringen en vervalsingen.
Text/d0/text,Alle documenten moeten worden gescand vóór goedkeuring. De [color=CRIMSON]verraders zullen worden uitgeroeid[/color]. Dat garandeer ik.
Text/d1/text,"Het helpen van verzetsleden is net veel gevaarlijker geworden, maar [color=CHARTREUSE]de waarheid moet verspreid worden[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
