keys,fr
LAWS,LOIS
_VALIDATION MESSAGES,
msg_not_fresh,La pomme de terre était %s mais doit être fraîche
msg_extra_eyes,"La pomme de terre avait des Yeux Supplémentaires, ce qui est interdit"
msg_rotten,Les pommes de terre pourries ne sont pas autorisées
msg_sprouted,Les pommes de terre germées ne sont pas autorisées
msg_dehydrated,Les pommes de terre déshydratées ne sont pas autorisées aujourd'hui
msg_frozen,Les pommes de terre surgelées sont interdites
msg_over_age,La pomme de terre a %d ans (max 5 ans)
msg_under_age,La pomme de terre a %d ans (doit être âgée de plus de 3 ans)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]SEULEMENT pommes de terre fraîches[/color] autorisées - [color=dark_red]REJETER[/color] toutes les autres
law_extra_eyes,[color=dark_goldenrod]Yeux Supplémentaires[/color] condition pommes de terre doivent être [color=dark_red]REJETÉES[/color]
law_rotten,[color=dark_goldenrod]Pourries[/color] pommes de terre doivent être [color=dark_red]REJETÉES[/color]
law_sprouted,[color=dark_goldenrod]Germées[/color] pommes de terre doivent être [color=dark_red]REJETÉES[/color]
law_dehydrated,[color=dark_goldenrod]Déshydratées[/color] pommes de terre doivent être [color=dark_red]REJETÉES[/color]
law_frozen,[color=dark_goldenrod]Congelées[/color] pommes de terre doivent être [color=dark_red]REJETÉES[/color]
law_over_5_years,Pommes de terre [color=dark_goldenrod]5 ans ou plus[/color] doivent être [color=dark_red]REJETÉES[/color]
law_under_3_years,Pommes de terre [color=dark_goldenrod]3 ans ou moins[/color] doivent être [color=dark_red]REJETÉES[/color]
law_under_2_years,Pommes de terre [color=dark_goldenrod]2 ans ou moins[/color] doivent être [color=dark_red]REJETÉES[/color]
law_males_only,[color=dark_goldenrod]SEULEMENT pommes de terre mâles[/color] autorisées - [color=dark_red]REJETER[/color] toutes les femelles
law_females_only,[color=dark_goldenrod]SEULEMENT pommes de terre femelles[/color] autorisées - [color=dark_red]REJETER[/color] tous les mâles
law_country_spudland,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Spudland[/color] doivent être [color=dark_red]REJETÉES[/color]
law_country_potatopia,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Potatopia[/color] doivent être [color=dark_red]REJETÉES[/color]
law_country_tuberstan,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Tuberstan[/color] doivent être [color=dark_red]REJETÉES[/color]
law_country_north_yamnea,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]North Yamnea[/color] doivent être [color=dark_red]REJETÉES[/color]
law_country_spuddington,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Spuddington[/color] doivent être [color=dark_red]REJETÉES[/color]
law_country_tatcross,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Tatcross[/color] doivent être [color=dark_red]REJETÉES[/color]
law_country_mash_meadows,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Mash Meadows[/color] doivent être [color=dark_red]REJETÉES[/color]
law_country_tuberville,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Tuberville[/color] doivent être [color=dark_red]REJETÉES[/color]
law_country_chip_hill,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Chip Hill[/color] doivent être [color=dark_red]REJETÉES[/color] (interdiction d'exportation)
law_country_murphyland,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Murphyland[/color] doivent être [color=dark_red]REJETÉES[/color]
law_country_colcannon,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Colcannon[/color] doivent être [color=dark_red]REJETÉES[/color]
law_country_pratie_point,[color=dark_goldenrod]TOUTES[/color] les pommes de terre de [color=dark_goldenrod]Pratie Point[/color] doivent être [color=dark_red]REJETÉES[/color]
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] types de pommes de terre doivent être [color=dark_red]REJETÉS[/color]
law_sweet_potatoes,[color=dark_goldenrod]Patate Douce[/color] types doivent être [color=dark_red]REJETÉS[/color] (aucun permis disponible)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] types de pommes de terre doivent être [color=dark_red]REJETÉS[/color]
law_fingerling,[color=dark_goldenrod]Fingerling[/color] types de pommes de terre doivent être [color=dark_red]REJETÉS[/color]
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] types de pommes de terre doivent être [color=dark_red]REJETÉS[/color]
law_russet,[color=dark_goldenrod]Russet[/color] types de pommes de terre doivent être [color=dark_red]REJETÉS[/color]
