keys,es
Text/b8/text,"La instalación fronteriza está en completo cierre, con seguridad armada patrullando cada corredor."
Text/b9/text,[pulse freq=3][color=RED]¡ATENCIÓN! ¡Situación de seguridad NIVEL ROJO![/color][/pulse] Documentos clasificados fueron robados anoche.
Text/ba/text,Tenemos un [tornado radius=4 freq=3][color=CRIMSON]traidor entre nosotros[/color][/tornado]. Cualquiera que oculte información será tratado como cómplice.
Text/bb/text,"Todos los oficiales, formen fila para [wave amp=15 freq=2][color=DARK_ORANGE]escaneo de seguridad[/color][/wave]. Aquellos con respuestas de estrés elevadas serán marcados."
Text/bc/text,¿Has visto lo que está pasando afuera? Panfletos por todas partes mostrando que [color=DARK_VIOLET]Root Reserve[/color] está hecho de... [pulse freq=3][color=CRIMSON]de nosotros[/color][/pulse].
Choice/bd/text,Baja la voz. Todos estamos siendo vigilados.
Choice/be/text,He oído los mismos rumores. Es horrible si es cierto.
Choice/bf/text,Eso es propaganda ridícula. No difundas tales mentiras.
Text/c0/text,Tienes razón. Pero si es cierto... ¿en qué nos convierte eso?
Text/c1/text,Mi primo fue rechazado el mes pasado. ¿Significa eso...? [color=CHARTREUSE]Ya no puedo seguir con esto[/color].
Text/c2/text,Su expresión se vuelve reservada. Por supuesto. Leal a Spud para siempre.
Text/c3/text,Indique su paradero anoche entre las 22:00 y las 04:00 horas.
Choice/c4/text,"Estuve en mis aposentos toda la noche, durmiendo."
Choice/c5/text,Preferiría hablar primero con mi representante legal.
Text/c6/text,Sus niveles de estrés indican [color=YELLOW]engaño[/color]. Sin embargo... no concluyente. Puede irse por ahora.
Text/c7/text,"¿Representante legal? Esto es un procedimiento de seguridad, no un juicio. Su negativa ha sido anotada."
Text/c8/text,"Está funcionando. Los manifiestos han causado revuelo, pero [color=DARK_ORANGE]Russet sospecha de nosotros[/color]."
Text/c9/text,Esté atento a los aliados de nuestra organización durante el turno de hoy. [color=CHARTREUSE]Los reconocerá[/color].
Text/ca/text,"Si puede hacerlos pasar con seguridad, use la [color=CHARTREUSE]marca especial de la que hablamos[/color]."
Choice/cb/text,Vale la pena el riesgo. Estoy dentro.
Choice/cc/text,Esto se está volviendo demasiado peligroso. Tal vez deberíamos mantener un perfil bajo.
Text/cd/text,"Sabía que podía contar contigo. Cuando esto termine, [color=CHARTREUSE]Spud sabrá quiénes fueron los verdaderos héroes[/color]."
Text/ce/text,Estamos mucho más allá de ese punto. Mantener un perfil bajo no nos salvará. [color=CHARTREUSE]Solo derribar el sistema lo hará[/color].
Text/cf/text,Cada estación ahora tiene el nuevo [color=DARK_ORANGE]sistema RealityScan[/color]. Detecta marcas no autorizadas y falsificaciones.
Text/d0/text,Todos los documentos deben ser escaneados antes de su aprobación. Los [color=CRIMSON]traidores serán erradicados[/color]. Lo garantizo.
Text/d1/text,"Ayudar a los miembros de la resistencia se ha vuelto mucho más peligroso, pero [color=CHARTREUSE]la verdad debe difundirse[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
