keys,hu
Text/131/text,"Lekuporodsz, miközben a csata tombol. Sajnálom, Sasha. [color=STEEL_BLUE]Nem vagyok olyan bátor, mint te[/color]."
Text/132/text,A [color=CRIMSON]terrorista támadást[/color] visszaverték! A vezetőket éppen [color=DARK_VIOLET]feldolgozzák[/color].
Text/133/text,"Yukon főnök ellenállási tagokat vonszol be láncokban, köztük Sashát. ""Ezek a [color=CRIMSON]árulók[/color] [color=DARK_VIOLET]végső feldolgozásra[/color] kerülnek."""
Text/134/text,"Sasha elkapja a tekinteted. Zúzódásai ellenére, tekintetében [wave amp=15 freq=2][color=CHARTREUSE]nincs ítélet, csak szomorúság[/color][/wave]."
Text/135/text,"Túlélted azzal, hogy lehajtottad a fejed, de [pulse freq=3][color=GOLD]milyen áron?[/color][/pulse] Amint a [color=DARK_VIOLET]Gyökértartalék[/color] termelése árad az üzemből, a gyomrod felfordul."
Text/136/text,Talán még van esély belülről. Vagy talán csak a lelkiismeretedet nyugtatod.
Text/137/text,[tornado radius=3 freq=2][color=CHARTREUSE]Elhagyod a posztod[/color][/tornado] és a harc felé rohansz. Az óvatosság ideje lejárt.
Text/138/text,"[pulse freq=3][color=GOLD]Bizonyítsd, hogy velünk vagy![/color][/pulse] Honnan ismered Sashát?"
Text/139/text,"[color=CHARTREUSE]A gyökerek mélyre nőnek![/color] Az ellenőrzőpontról vagyok, Sasha toborzott engem!"
Text/13a/text,Éppen most viszik a feldolgozó üzembe. Sietnünk kell!
Text/13b/text,"Az ajtók felrobbannak, felfedve a [wave amp=25 freq=3][color=CRIMSON]borzalmas igazságot[/color][/wave] - őrlőgépek, szállítószalagok, melyek krumplikat szállítanak végzetük felé."
Text/13c/text,Az egyik szalag végén - Sasha és mások [color=CRIMSON]tehetetlenül megkötözve[/color]. Russet felügyelő áll a vezérlőknél.
Text/13d/text,"[color=RED]TE![/color] Tudhattam volna, hogy közéjük tartozol! Hátrálj vagy beindítom a feldolgozót!"
Text/13e/text,"Miközben az ellenállók legyőzik Russetet, Sasha átirányítja a létesítmény kameráit. [color=YELLOW]Spud népe! Ez a Gyökértartalék! Egymással etettek minket![/color]"
Text/13f/text,"Visszajöttél értem. [color=CHARTREUSE]Megcsináltuk. Az igazság most már kint van.[/color] Van egy jövő, amit fel kell építenünk!"
