keys,nl
Text/86/text,Nieuwe beveiligingsprotocollen vandaag. We hebben inlichtingen ontvangen over [color=YELLOW]verdachte activiteiten[/color].
Text/87/text,Alle reizigers moeten uitgebreide inspectieprocessen ondergaan.
Text/88/text,"Let op [color=YELLOW]nerveus gedrag, ongebruikelijke manieren of terughoudendheid om oogcontact te maken[/color]."
Text/89/text,"Alle verdachte items moeten in beslag worden genomen en geregistreerd. Voor Spuds veiligheid, uiteraard."
Text/8a/text,"We zijn vooral bezorgd over [color=CRIMSON]verboden materialen[/color] - anti-overheids literatuur, fotoapparatuur..."
Text/8b/text,"Hun stem daalt dreigend. ""[pulse freq=2][color=DARK_VIOLET]We hebben speciale procedures voor deze individuen.[/color][/pulse]"""
Text/8c/text,"[wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] vrachtwagens lossen dozen gemerkt ""Premium Reserve"" in de kantine. De geur is aanlokkelijk, maar uw maag draait zich om."
Text/8d/text,Heeft u de nieuwe Premium Reserve geprobeerd? Mijn neef verdween afgelopen maand. Doorstond de inspectie niet.
Text/8e/text,"Misschien is hij deel van deze batch, hè? [tornado radius=2 freq=2][color=STEEL_BLUE]Zwarte humor, begrijpt u?[/color][/tornado]"
Choice/8f/text,Dat is helemaal niet grappig.
Choice/90/text,Ik heb geen honger. Excuseer. (Vertrekken)
Text/91/text,U heeft gelijk. Soms is het makkelijker om te grappen dan na te denken over [pulse freq=3][color=CRIMSON]wat er werkelijk zou kunnen gebeuren[/color][/pulse].
Text/92/text,"De functionaris kijkt hoe u vertrekt. ""Ik begrijp het. Ik ben ook mijn eetlust kwijt..."""
Text/93/text,"Handig moment voor nieuwe beveiligingsprotocollen, nietwaar? [wave amp=15 freq=3][color=YELLOW]Ze proberen informatie over Root Reserve te stoppen.[/color][/wave]"
Text/94/text,Ik heb iets dat ons zou kunnen helpen. Sommige aardappelen met [color=CHARTREUSE]vitale informatie verdienen het om door te komen[/color].
Text/95/text,U overweegt uw opties zorgvuldig. Vandaags keuzes zouden kunnen helpen om [color=CHARTREUSE]de waarheid te verspreiden[/color]... of [color=CRIMSON]deze voor altijd te smoren[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
