keys,fr
Text/96/text,"Vous vous faufilez dans le couloir obscurci, le cœur battant tout en évitant les patrouilles de sécurité."
Text/97/text,[color=CHARTREUSE]Cet appareil désactivera le verrou[/color] du bureau de Russet. Je déclencherai des alarmes dans l'aile est comme diversion. Vous aurez cinq minutes.
Text/98/text,Les manifestes devraient être dans son classeur. [color=CRIMSON]Dossier rouge étiqueté 'RR Transport'[/color]. Ne laissez aucune trace de votre recherche.
Text/99/text,"Vous trouvez l'épais [color=CRIMSON]dossier rouge étiqueté ""RR Transport""[/color] dans le classeur."
Text/9a/text,"À l'intérieur se trouvent des manifestes correspondant aux nombres de pommes de terre rejetées, et une directive du Premier ministre d'Idaho autorisant ""[pulse freq=3][color=DARK_VIOLET]l'utilisation complète des rejets frontaliers pour la production RR.[/color][/pulse]"""
Text/9b/text,"Des pas s'approchent de la porte du bureau. ""[wave amp=15 freq=3][color=YELLOW]Étrange, j'aurais juré l'avoir verrouillée.[/color][/wave]"""
Choice/9c/text,Se cacher sous le bureau
Choice/9d/text,Sauter par la fenêtre
Text/9e/text,"Vous vous glissez sous le bureau de Russet alors qu'il entre, le cœur battant. Il s'assoit, ses pieds à quelques centimètres de votre visage."
Text/9f/text,Russet ici. Quoi ? [color=CHARTREUSE]Une autre alarme ?[/color] J'arrive. Il quitte la pièce et vous vous échappez.
Text/a0/text,"Vous arrachez la fenêtre et sautez. Heureusement, ce n'est qu'un étage. Un garde crie : ""[color=RED]Hé ! Arrêtez-vous ![/color]"""
Text/a1/text,Vous courez à travers le terrain et parvenez à semer vos poursuivants.
Text/a2/text,L'avez-vous obtenu ?
Text/a3/text,Vous remettez les preuves en expliquant ce que vous avez trouvé.
Text/a4/text,Cela prouve tout. La résistance fera des copies. [tornado radius=3 freq=2]Répandez la vérité partout.[/tornado] Ils ne peuvent pas nous faire taire tous.
Text/a5/text,"Vous avez franchi une ligne. [wave amp=20 freq=3][color=YELLOW]Il n'y a pas de retour en arrière.[/color][/wave] Quand la vérité se répandra, Spud sera transformé."
Choice/9c/disabled_text,
Choice/9d/disabled_text,
