keys,de
Text/96/text,"Du schleichst durch den verdunkelten Korridor, dein Herz pocht, während du Sicherheitspatrouillen ausweichst."
Text/97/text,[color=CHARTREUSE]Dieses Gerät wird die Sperre[/color] in Russets Büro deaktivieren. Ich löse Alarme im Ostflügel als Ablenkung aus. Du hast fünf Minuten.
Text/98/text,Die Manifeste sollten in seiner Aktenablage sein. [color=CRIMSON]Roter Ordner mit der Aufschrift 'RR Transport'[/color]. Hinterlasse keine Spuren deiner Suche.
Text/99/text,"Du findest den dicken [color=CRIMSON]roten Ordner mit der Aufschrift ""RR Transport""[/color] in der Aktenablage."
Text/9a/text,"Darin befinden sich Manifeste, die abgelehnten Kartoffelzahlen entsprechen, und eine Weisung des Premierministers von Idaho, die ""[pulse freq=3][color=DARK_VIOLET]vollständige Nutzung von Grenzablehnungen für RR-Produktion[/color][/pulse]"" autorisiert."
Text/9b/text,"Schritte nähern sich der Bürotür. ""[wave amp=15 freq=3][color=YELLOW]Seltsam, ich hätte schwören können, ich hätte abgeschlossen.[/color][/wave]"""
Choice/9c/text,Verstecke dich unter dem Schreibtisch
Choice/9d/text,Springe aus dem Fenster
Text/9e/text,"Du tauchst unter Russets Schreibtisch, als er hereinkommt, dein Herz pocht. Er setzt sich, seine Füße Zentimeter von deinem Gesicht entfernt."
Text/9f/text,"Russet hier. Was? [color=CHARTREUSE]Ein weiterer Alarm?[/color] Ich bin unterwegs. Er verlässt den Raum, und du entkommst."
Text/a0/text,"Du reißt das Fenster auf und springst. Glücklicherweise ist es nur ein Stockwerk. Ein Wachmann ruft: ""[color=RED]Hey! Halt![/color]"""
Text/a1/text,"Du rennst über das Gelände und schaffst es, deine Verfolger abzuschütteln."
Text/a2/text,Hast du es bekommen?
Text/a3/text,"Du überreichst die Beweise und erklärst, was du gefunden hast."
Text/a4/text,Dies beweist alles. Der Widerstand wird Kopien machen. [tornado radius=3 freq=2]Verbreite die Wahrheit überall.[/tornado] Sie können uns nicht alle zum Schweigen bringen.
Text/a5/text,"Du hast eine Grenze überschritten. [wave amp=20 freq=3][color=YELLOW]Es gibt kein Zurück.[/color][/wave] Wenn sich die Wahrheit verbreitet, wird Spud transformiert werden."
Choice/9c/disabled_text,
Choice/9d/disabled_text,
