keys,ro
Text/b8/text,"Unitatea de frontieră este în izolare completă, cu personal de securitate înarmat patrulând pe fiecare coridor."
Text/b9/text,[pulse freq=3][color=RED]ATENȚIE! Situație de securitate NIVEL ROȘU![/color][/pulse] Documente clasificate au fost furate aseară.
Text/ba/text,Avem un [tornado radius=4 freq=3][color=CRIMSON]trădător printre noi[/color][/tornado]. Oricine ascunde informații va fi tratat ca și complice.
Text/bb/text,"Toți ofițerii, aliniați-vă pentru [wave amp=15 freq=2][color=DARK_ORANGE]scanare de securitate[/color][/wave]. Cei cu răspunsuri de stres ridicate vor fi marcați."
Text/bc/text,Ai văzut ce se întâmplă afară? Pamflete peste tot arătând că [color=DARK_VIOLET]Root Reserve[/color] este făcut din... [pulse freq=3][color=CRIMSON]din noi[/color][/pulse].
Choice/bd/text,Vorbește mai încet. Suntem cu toții supravegheați.
Choice/be/text,Am auzit aceleași zvonuri. Este îngrozitor dacă e adevărat.
Choice/bf/text,Este propagandă ridicolă. Nu răspândi astfel de minciuni.
Text/c0/text,Ai dreptate. Dar dacă e adevărat... ce ne face asta?
Text/c1/text,Vărul meu a fost respins luna trecută. Asta înseamnă...? [color=CHARTREUSE]Nu mai pot continua așa[/color].
Text/c2/text,Expresia lor devine precaută. Desigur. Loial lui Spud pentru totdeauna.
Text/c3/text,Menționați unde v-ați aflat aseară între orele 22:00 și 04:00.
Choice/c4/text,"Am fost în camera mea toată noaptea, dormind."
Choice/c5/text,Aș prefera să vorbesc mai întâi cu reprezentantul meu legal.
Text/c6/text,Nivelurile dumneavoastră de stres indică [color=YELLOW]înșelăciune[/color]. Totuși... neconcludent. Puteți pleca deocamdată.
Text/c7/text,"Reprezentant legal? Aceasta este o procedură de securitate, nu un proces. Refuzul dumneavoastră a fost notat."
Text/c8/text,"Funcționează. Manifestele au provocat agitație, dar [color=DARK_ORANGE]Russet ne suspectează[/color]."
Text/c9/text,Fiți atenți la aliații din organizația noastră în timpul turei de astăzi. [color=CHARTREUSE]Îi veți recunoaște[/color].
Text/ca/text,"Dacă îi puteți trece în siguranță, folosiți [color=CHARTREUSE]semnul special despre care am discutat[/color]."
Choice/cb/text,Merită riscul. Sunt implicat.
Choice/cc/text,Devine prea periculos. Poate ar trebui să ne ținem capul plecat.
Text/cd/text,"Știam că pot conta pe tine. Când se va termina totul, [color=CHARTREUSE]Spud va ști cine au fost adevărații eroi[/color]."
Text/ce/text,Suntem mult dincolo de acel punct. Să ne ținem capul plecat nu ne va salva. [color=CHARTREUSE]Doar dărâmarea sistemului o va face[/color].
Text/cf/text,Fiecare stație are acum noul [color=DARK_ORANGE]sistem RealityScan[/color]. Acesta detectează marcaje neautorizate și falsificări.
Text/d0/text,Toate documentele trebuie scanate înainte de aprobare. [color=CRIMSON]Trădătorii vor fi eliminați[/color]. Garantez asta.
Text/d1/text,"Ajutarea membrilor rezistenței tocmai a devenit mult mai periculoasă, dar [color=CHARTREUSE]adevărul trebuie să se răspândească[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
