keys,no
Text/131/text,"Du dukker deg mens kampen raser. Jeg beklager, Sasha. Jeg er [color=STEEL_BLUE]ikke så modig som deg[/color]."
Text/132/text,[color=CRIMSON]Terrorangrepet[/color] har blitt slått tilbake! Lederne blir [color=DARK_VIOLET]bearbeidet[/color] mens vi snakker.
Text/133/text,"Høvding Yukon drar motstandsmedlemmer inn i lenker, Sasha blant dem. ""Disse [color=CRIMSON]forræderne[/color] vil møte [color=DARK_VIOLET]endelig bearbeidelse[/color]."""
Text/134/text,"Sasha fanger blikket ditt. Til tross for blåmerkene hennes, inneholder blikket [wave amp=15 freq=2][color=CHARTREUSE]ingen fordømmelse, bare sorg[/color][/wave]."
Text/135/text,"Du har overlevd ved å holde hodet lavt, men [pulse freq=3][color=GOLD]til hvilken pris?[/color][/pulse] Mens produksjonen av [color=DARK_VIOLET]Rotreserve[/color] strømmer fra anlegget, vrenger magen seg."
Text/136/text,Kanskje det fortsatt er en sjanse fra innsiden. Eller kanskje du bare letter samvittigheten din.
Text/137/text,Du [tornado radius=3 freq=2][color=CHARTREUSE]forlater posten din[/color][/tornado] og løper mot kampene. Tiden for forsiktighet er over.
Text/138/text,[pulse freq=3][color=GOLD]Bevis at du er med oss![/color][/pulse] Hvordan kjenner du Sasha?
Text/139/text,"[color=CHARTREUSE]Røttene vokser dypt![/color] Jeg er fra kontrollposten, Sasha rekrutterte meg!"
Text/13a/text,De tar henne til prosesseringsanlegget akkurat nå. Vi må skynde oss!
Text/13b/text,"Dørene eksploderer åpne og avslører den [wave amp=25 freq=3][color=CRIMSON]forferdelige sannheten[/color][/wave] - kvernemaskiner, transportbånd som bærer poteter til deres undergang."
Text/13c/text,Ved enden av et transportbånd - Sasha og andre [color=CRIMSON]hjelpeløst bundet[/color]. Tilsynsmann Russet står ved kontrollene.
Text/13d/text,[color=RED]DEG![/color] Jeg burde ha visst at du var en av dem! Trekk deg tilbake eller jeg starter prosessoren!
Text/13e/text,"Mens motstandskjempere overmanner Russet, omdirigerer Sasha anleggets kameraer. [color=YELLOW]Spuds folk! Dette er Rotreserven! De har gitt oss hverandre som mat![/color]"
Text/13f/text,Du kom tilbake for meg. [color=CHARTREUSE]Vi klarte det. Sannheten er ute nå.[/color] Vi har en fremtid å bygge!
