keys,de
Text/102/text,"Gut, du hast es geschafft. Der Widerstand wird [color=CHARTREUSE]stärker[/color]. Dank dieser Manifeste sehen die Menschen die Wahrheit."
Text/103/text,"Es ist mir gelungen, diese Akte von unseren Quellen zu bekommen - Produktionspläne, '[color=CRIMSON]Zutatenlisten[/color]', Namen der [color=DARK_SLATE_BLUE]Verschwundenen[/color]."
Text/104/text,Dies ist nicht nur ein Nahrungsergänzungsprogramm. Sie [color=CRIMSON]verarbeiten Kartoffeln[/color]...und nicht auf gute Weise.
Text/105/text,"Interne Memos von Premierminister Idaho selbst, die die ""[color=DARK_ORANGE]Verwertung abgelehnter Vermögenswerte[/color]"" genehmigen."
Text/106/text,"Quoten für jeden Kontrollpunkt, wobei der Kartoffellzoll das höchste Verhältnis von Ablehnung zu Verarbeitung aufweist."
Text/107/text,Die Situation draußen hat sich verschlechtert. Wütende Menschenmengen versammeln sich an Kontrollpunkten und fordern Antworten über die Root Reserve.
Text/108/text,[color=YELLOW]NOTFALLMELDUNG[/color]: Die jüngste Verbreitung von [color=CRIMSON]gefälschten Dokumenten[/color] hat unnötige Panik verursacht.
Text/109/text,"Eine Belohnung von [color=GOLD]10.000 Kartoffel-Krediten[/color] wird für Informationen angeboten, die zur Ergreifung dieser Saboteure führen."
Text/10a/text,Der Konsum oder die Verbreitung dieser Propaganda wird jetzt als [color=RED]Hochverrat[/color] eingestuft.
Text/10b/text,Die heutige Schicht wird unter besonderen Protokollen arbeiten. Jeder Reisende muss eine Loyalitätsbewertung durchlaufen.
Text/10c/text,"Diejenigen, die [color=CRIMSON]regierungsfeindliche Stimmungen[/color] zeigen, sind sofort zu markieren."
Text/10d/text,Der [color=CRIMSON]Verräter unter uns[/color] wird gefunden werden. Und wenn sie gefunden werden... [zieht den Finger über die Kehle]
Text/10e/text,"Eine nervöse Kartoffel nähert sich, [color=GOLD]gelbes Blattabzeichen[/color] teilweise sichtbar. Eine kleine Notiz ist zwischen den Papieren versteckt: ""[color=CHARTREUSE]Sicheres Haus kompromittiert. Neuer Standort: Lagerhaus 7, Sektor 4.[/color]"""
Choice/10f/text,Schleuse sie schnell mit der UV-Markierung durch (Hilfe)
Choice/110/text,Melde sie sofort der Sicherheit (Verrat)
Text/111/text,"Erleichterung überflutet ihr Gesicht. ""Danke. Die Wahrheit wird siegen."""
Text/112/text,"Entsetzen dämmert, als du der Sicherheit signalisierst. ""[wave amp=25 freq=3]Nein, bitte! Ich habe eine Familie![/wave]"" Ihr gelbes Abzeichen fällt zu Boden."
Text/113/text,Gut gemacht. Deine Loyalität wird vermerkt.
Text/114/text,Deine Entscheidung wurde bemerkt. Sei bereit. [tornado radius=3 freq=2][color=CHARTREUSE]Etwas Großes kommt[/color][/tornado]. Der Widerstand plant eine direkte Aktion.
Text/115/text,"Wenn es passiert, musst du [color=YELLOW]eine Seite wählen[/color]. Es wird keinen Mittelweg mehr geben."
Text/116/text,"Mit jeder Kartoffel, die du verarbeitest, [pulse freq=2][color=CHARTREUSE]unterstützt du entweder eine Revolution[/color][/pulse] oder [pulse freq=2][color=CRIMSON]ermöglichst ein schreckliches System[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
