keys,it
Text/131/text,"Ti rannicchi mentre la battaglia infuria. Mi dispiace, Sasha. [color=STEEL_BLUE]Non sono coraggioso come te[/color]."
Text/132/text,L'[color=CRIMSON]attacco terroristico[/color] è stato respinto! I capi stanno venendo [color=DARK_VIOLET]processati[/color] mentre parliamo.
Text/133/text,"Il Capo Yukon trascina membri della resistenza in catene, Sasha tra loro. ""Questi [color=CRIMSON]traditori[/color] affronteranno [color=DARK_VIOLET]l'elaborazione finale[/color]."""
Text/134/text,"Sasha incrocia il tuo sguardo. Nonostante i suoi lividi, il suo sguardo contiene [wave amp=15 freq=2][color=CHARTREUSE]nessun giudizio, solo tristezza[/color][/wave]."
Text/135/text,"Sei sopravvissuto tenendo la testa bassa, ma [pulse freq=3][color=GOLD]a quale prezzo?[/color][/pulse] Mentre la produzione della [color=DARK_VIOLET]Riserva Radice[/color] si diffonde dall'impianto, il tuo stomaco si rivolta."
Text/136/text,Forse c'è ancora una possibilità dall'interno. O forse stai solo placando la tua coscienza.
Text/137/text,[tornado radius=3 freq=2][color=CHARTREUSE]Abbandoni il tuo posto[/color][/tornado] e corri verso il combattimento. Il tempo della cautela è finito.
Text/138/text,[pulse freq=3][color=GOLD]Dimostra che sei con noi![/color][/pulse] Come conosci Sasha?
Text/139/text,"[color=CHARTREUSE]Le radici crescono in profondità![/color] Sono del posto di controllo, Sasha mi ha reclutato!"
Text/13a/text,La stanno portando all'impianto di lavorazione proprio ora. Dobbiamo affrettarci!
Text/13b/text,"Le porte esplodono, rivelando la [wave amp=25 freq=3][color=CRIMSON]terribile verità[/color][/wave] - macchine trituratrici, nastri trasportatori che portano patate alla loro rovina."
Text/13c/text,Alla fine di uno dei nastri - Sasha e altri [color=CRIMSON]legati senza possibilità di difesa[/color]. Il Supervisore Russet è ai controlli.
Text/13d/text,[color=RED]TU![/color] Avrei dovuto sapere che eri uno di loro! Indietreggia o avvio il processore!
Text/13e/text,"Mentre i combattenti della resistenza sopraffanno Russet, Sasha reindirizza le telecamere dell'impianto. [color=YELLOW]Popolo di Spud! Questa è la Riserva Radice! Ci hanno nutrito gli uni con gli altri![/color]"
Text/13f/text,Sei tornato per me. [color=CHARTREUSE]Ce l'abbiamo fatta. La verità è fuori adesso.[/color] Abbiamo un futuro da costruire!
