keys,pl
Text/117/text,Punkt kontrolny przekształcił się w posterunek wojskowy. Elitarni strażnicy w czarnych mundurach patrolują z wyeksponowaną bronią.
Text/118/text,"Jestem Głównym Oficerem Bezpieczeństwa Yukon, wysłanym ze stolicy przez Premiera Idaho."
Text/119/text,"Wywiad wskazuje, że [pulse freq=2][color=YELLOW]atak terrorystyczny jest nieuchronny[/color][/pulse]. ""Ruch oporu"" planuje infiltrację jutro."
Text/11a/text,Wszyscy oficerowie zostaną poddani [wave amp=15 freq=2][color=DARK_ORANGE]kontroli lojalności[/color][/wave]. Podejrzane zachowanie oznacza zatrzymanie i [color=DARK_VIOLET]przetworzenie[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]Pełna współpraca[/color][/tornado] z Bezpieczeństwem jest obowiązkowa. Moje raporty na temat każdego z was zostały przekazane Szefowi.
Text/11c/text,"Wzrok Russeta zatrzymuje się na tobie nieprzyjemnie, zanim przejdzie dalej."
Text/11d/text,"To jest [color=DARK_ORANGE]IdentityScan 5000[/color]. Analizuje dane biometryczne, aby wykryć infiltratorów i sympatyków."
Text/11e/text,"Każdy, kto zostanie oznaczony, stanie w obliczu [color=CRIMSON]wzmocnionego przesłuchania[/color]. Używaj go bez wyjątku."
Text/11f/text,Widziałeś Sashę? Nie zgłosiła się na zbiórkę. Wczoraj wieczorem [color=CRIMSON]siły bezpieczeństwa weszły do jej kwatery[/color].
Text/120/text,"Mówią, że była częścią [pulse freq=2][color=CHARTREUSE]ruchu oporu[/color][/pulse]."
Choice/121/text,Nie powinniśmy o tym rozmawiać. To niebezpieczne.
Choice/122/text,Ja też się o nią martwię. To nie jest w porządku.
Text/123/text,Masz rację. Ale uważaj na siebie. Szukają powiązań z nią.
Text/124/text,Więc byliście blisko? Bądź ostrożny. Ciebie też mogą obserwować.
Text/125/text,"Oficer podsuwa ci notatkę: ""[color=YELLOW]Oczyść swoją stację ze wszystkiego, co podejrzane.[/color]"""
Text/126/text,Jesteś na tym punkcie kontrolnym już od dłuższego czasu. Interesujące wyniki pracy.
Text/127/text,"Często widziano cię z Oficer Sashą, która jest teraz badana pod kątem [wave amp=20 freq=3][color=CRIMSON]zdrady[/color][/wave]."
Text/128/text,"Szef pochyla się do przodu. Czy jest coś, co chciałbyś mi powiedzieć o jej działaniach?"
Choice/129/text,Sasha i ja byliśmy tylko współpracownikami. Nic nie wiem o niej poza pracą.
Choice/12a/text,"Zbierałem dowody na jej podejrzane działania, aby zgłosić je później."
Text/12b/text,Wielu świadków twierdzi inaczej. Bez konkretnych dowodów nie mogę cię jednak zatrzymać. [color=YELLOW]Jeszcze.[/color]
Text/12c/text,Będziesz pod [color=CRIMSON]ścisłą obserwacją[/color]. Jeden fałszywy krok i [color=DARK_VIOLET]dołączysz do Sashy[/color].
Text/12d/text,Jakie to wygodne. A jednak nie złożyłeś żadnych raportów aż do teraz.
Text/12e/text,"Złożysz pełne oświadczenie. Jeśli twoje informacje okażą się wartościowe, być może przymkniemy oko na twoje opóźnione raportowanie."
Text/12f/text,Będę [color=CRIMSON]monitorować twoją pracę[/color] dzisiaj. Każdy podróżny musi przejść skan tożsamości. [color=RED]Bez wyjątków[/color].
Text/130/text,Sasha została zabrana. Plan ruchu oporu jest [color=CRIMSON]skompromitowany[/color]. Przy podwyższonym stanie bezpieczeństwa ich szanse wydają się beznadziejne.
Choice/121/disabled_text,
Choice/12a/disabled_text,
Choice/129/disabled_text,
Choice/122/disabled_text,
