keys,nl
Text/56/text,Welkom in de natie van de Aardappel. Een land van [pulse freq=2][color=MEDIUM_VIOLET_RED]voorspoed voor alle aardappels[/color][/pulse].
Text/57/text,Je bent geselecteerd voor een [color=DARK_ORANGE]cruciale rol[/color] in het beschermen van onze grenzen.
Text/59/text,"AANSCHOUW! De [color=MEDIUM_VIOLET_RED]machtige muur[/color] die onze natie beschermt. Hier zul je dienen, ervoor zorgend dat alleen de waardigen binnenkomen."
Text/5a/text,"Ah, de nieuwe loot. Luister nauwkeurig, jouw rol is [color=DARK_ORANGE]vitaal voor de veiligheid van de Aardappel[/color]."
Text/184/text,Jouw welzijn [wave amp=20 freq=3][color=YELLOW]hangt af van je prestatie[/color][/wave].
Text/5b/text,Ik benoem je tot Douanebeambte van [pulse freq=1][color=MEDIUM_VIOLET_RED]de glorieuze Aardappel[/color][/pulse]. Vragen?
Choice/5c/text,Ik ben klaar om de Aardappel te dienen met al mijn zetmeel!
Choice/5d/text,Wat gebeurt er precies met afgekeurde aardappels?
Text/5e/text,Uitstekend! Dat is de enthousiasme die we nodig hebben. Je zou een onderscheiding van de [color=DARK_VIOLET]Wortelreserve[/color] kunnen verdienen.
Text/5f/text,Ze worden... [color=DARK_VIOLET]verwerkt[/color]. Volgens protocol. De [color=DARK_VIOLET]Wortelreserve[/color] regelt alle details.
Text/60/text,Concentreer je op je plichten. [color=DARK_ORANGE]Niets meer.[/color]
Text/61/text,"Je eerste dienst begint nu. Controleer documenten zorgvuldig, wijs degenen af die niet aan onze standaarden voldoen."
Text/62/text,"Haal je quota, vermijd sancties. [color=MEDIUM_VIOLET_RED]Glorie aan de Aardappel![/color]"
Choice/5d/disabled_text,
Choice/5c/disabled_text,
