keys,fi
LAWS,LAIT
_VALIDATION MESSAGES,
msg_not_fresh,"Peruna oli %s, mutta sen on oltava tuore"
msg_extra_eyes,"Perunassa oli Ylimääräisiä Silmiä, mikä on kiellettyä"
msg_rotten,Mädät perunat eivät ole sallittuja
msg_sprouted,Itäneet perunat eivät ole sallittuja
msg_dehydrated,Kuivatut perunat eivät ole tänään sallittuja
msg_frozen,Jäädytetyt perunat ovat kiellettyjä
msg_over_age,Peruna on %d vuotta vanha (enintään 5 vuotta)
msg_under_age,Peruna on %d vuotta vanha (täytyy olla yli 3 vuotta)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]VAIN tuoreet[/color] perunat sallittu - [color=dark_red]HYLKÄÄ[/color] kaikki muut
law_extra_eyes,[color=dark_goldenrod]Ylimääräiset Silmät[/color] kunto perunat on [color=dark_red]HYLÄTTÄVÄ[/color]
law_rotten,[color=dark_goldenrod]Mädäntyneet[/color] perunat on [color=dark_red]HYLÄTTÄVÄ[/color]
law_sprouted,[color=dark_goldenrod]Itäneet[/color] perunat on [color=dark_red]HYLÄTTÄVÄ[/color]
law_dehydrated,[color=dark_goldenrod]Kuivatut[/color] perunat on [color=dark_red]HYLÄTTÄVÄ[/color]
law_frozen,[color=dark_goldenrod]Pakastetut[/color] perunat on [color=dark_red]HYLÄTTÄVÄ[/color]
law_over_5_years,Perunat [color=dark_goldenrod]5 vuotta tai vanhemmat[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_under_3_years,Perunat [color=dark_goldenrod]3 vuotta tai nuoremmat[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_under_2_years,Perunat [color=dark_goldenrod]2 vuotta tai nuoremmat[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_males_only,[color=dark_goldenrod]VAIN uros[/color] perunat sallittu - [color=dark_red]HYLKÄÄ[/color] kaikki naaraat
law_females_only,[color=dark_goldenrod]VAIN naaras[/color] perunat sallittu - [color=dark_red]HYLKÄÄ[/color] kaikki urokset
law_country_spudland,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Spudlandista[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_country_potatopia,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Potatopiasta[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_country_tuberstan,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Tuberstanista[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_country_north_yamnea,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Pohjois-Yamneasta[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_country_spuddington,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Spuddingtonista[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_country_tatcross,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Tatcrossista[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_country_mash_meadows,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Mash Meadowsista[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_country_tuberville,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Tubervillestä[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_country_chip_hill,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Chip Hillistä[/color] on [color=dark_red]HYLÄTTÄVÄ[/color] (vientikielto)
law_country_murphyland,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Murphylandista[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_country_colcannon,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Colcannonista[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_country_pratie_point,[color=dark_goldenrod]KAIKKI[/color] perunat [color=dark_goldenrod]Pratie Pointista[/color] on [color=dark_red]HYLÄTTÄVÄ[/color]
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] peruna tyypit on [color=dark_red]HYLÄTTÄVÄ[/color]
law_sweet_potatoes,[color=dark_goldenrod]Bataatti[/color] tyypit on [color=dark_red]HYLÄTTÄVÄ[/color] (ei lupia saatavilla)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] peruna tyypit on [color=dark_red]HYLÄTTÄVÄ[/color]
law_fingerling,[color=dark_goldenrod]Fingerling[/color] peruna tyypit on [color=dark_red]HYLÄTTÄVÄ[/color]
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] peruna tyypit on [color=dark_red]HYLÄTTÄVÄ[/color]
law_russet,[color=dark_goldenrod]Russet[/color] peruna tyypit on [color=dark_red]HYLÄTTÄVÄ[/color]
