keys,tr
violation_condition_not_fresh,REDDET: Sadece taze patates izin verilir. Bu patates {condition}
violation_extra_eyes,REDDET: Ekstra Gözler durumu yasaktır
violation_rotten,REDDET: Çürük patatesler yasaktır
violation_sprouted,REDDET: Filizlenmiş patatesler yasaktır
violation_dehydrated,REDDET: Kurutulmuş patatesler yasaktır
violation_frozen,REDDET: Donmuş patatesler yasaktır
violation_too_old,REDDET: Patates {age} yaşında (maksimum yaş: 4 yıl)
violation_too_young_3,REDDET: Patates {age} yaşında (minimum yaş: 4 yıl)
violation_too_young_2,REDDET: Patates {age} yaşında (minimum yaş: 3 yıl)
violation_males_only,REDDET: Sadece erkek patates izin verilir
violation_females_only,REDDET: Sadece dişi patates izin verilir
violation_country_spudland,REDDET: Tüm Spudland patatesleri yasaktır
violation_country_potatopia,REDDET: Tüm Potatopia patatesleri yasaktır
violation_country_tuberstan,REDDET: Tüm Tuberstan patatesleri yasaktır
violation_country_north_yamnea,REDDET: Tüm North Yamnea patatesleri yasaktır
violation_country_spuddington,REDDET: Tüm Spuddington patatesleri yasaktır
violation_country_tatcross,REDDET: Tüm Tatcross patatesleri yasaktır
violation_country_mash_meadows,REDDET: Tüm Mash Meadows patatesleri yasaktır
violation_country_tuberville,REDDET: Tüm Tuberville patatesleri yasaktır
violation_country_chip_hill,REDDET: Tüm Chip Hill patatesleri yasaktır (ihracat kısıtlamaları)
violation_country_murphyland,REDDET: Tüm Murphyland patatesleri yasaktır
violation_country_colcannon,REDDET: Tüm Colcannon patatesleri yasaktır
violation_country_pratie_point,REDDET: Tüm Pratie Point patatesleri yasaktır
violation_race_purple_majesty,REDDET: Purple Majesty türleri yasaktır
violation_race_sweet_potato,REDDET: Tatlı patates türleri özel izin gerektirir (mevcut değil)
violation_race_yukon_gold,REDDET: Yukon Gold türleri yasaktır
violation_expired_document,REDDET: Belge {date} tarihinde sona erdi
violation_invalid_potato,Bu patates tüm gereklilikleri karşılıyor ve onaylanmış olmalı
