keys,sk
Text/b8/text,"Pohraničné zariadenie je v úplnej uzávere, s ozbrojenou ochrankou hliadkujúcou v každej chodbe."
Text/b9/text,[pulse freq=3][color=RED]POZOR! Bezpečnostná situácia ÚROVNE ČERVENÁ![/color][/pulse] Tajné dokumenty boli v noci odcudzené.
Text/ba/text,Máme [tornado radius=4
Text/bb/text,"Všetci dôstojníci, nastúpte na [wave amp=15 freq=2][color=DARK_ORANGE]bezpečnostné skenovanie[/color][/wave]. Tí so zvýšenými stresovými reakciami budú označení."
Text/bc/text,"Videli ste, čo sa deje vonku? Všade letáky ukazujúce, že [color=DARK_VIOLET]Root Reserve[/color] je vyrobený z... [pulse freq=3][color=CRIMSON]z nás[/color][/pulse]."
Choice/bd/text,Stíš hlas. Všetci sme sledovaní.
Choice/be/text,"Počul som rovnaké zvesti. Je to desivé, ak je to pravda."
Choice/bf/text,To je smiešna propaganda. Nešír takéto klamstvá.
Text/c0/text,Máš pravdu. Ale ak je to pravda... čo to z nás robí?
Text/c1/text,Môj bratranec bol minulý mesiac odmietnutý. Znamená to...? [color=CHARTREUSE]Už takto nemôžem pokračovať[/color].
Text/c2/text,Ich výraz sa stáva ostražitým. Samozrejme. Navždy verný Spudu.
Text/c3/text,"Uveďte, kde ste sa nachádzali včera v noci medzi 22:00 a 04:00."
Choice/c4/text,Bol som celú noc vo svojich ubytovacích priestoroch a spal som.
Choice/c5/text,Radšej by som najprv hovoril so svojím právnym zástupcom.
Text/c6/text,Vaše úrovne stresu naznačujú [color=YELLOW]klamstvo[/color]. Avšak... nepreukazné. Zatiaľ môžete ísť.
Text/c7/text,"Právny zástupca? Toto je bezpečnostný postup, nie súdny proces. Vaše odmietnutie bolo zaznamenané."
Text/c8/text,"Funguje to. Manifesty spôsobili rozruch, ale [color=DARK_ORANGE]Russet nás podozrieva[/color]."
Text/c9/text,Sledujte spojencov z našej organizácie počas dnešnej zmeny. [color=CHARTREUSE]Spoznáte ich[/color].
Text/ca/text,"Ak ich dokážete bezpečne previesť, použite [color=CHARTREUSE]špeciálnu značku, o ktorej sme hovorili[/color]."
Choice/cb/text,Stojí to za to riziko. Idem do toho.
Choice/cc/text,Začína to byť príliš nebezpečné. Možno by sme sa mali držať v ústraní.
Text/cd/text,"Vedel som, že sa na teba môžem spoľahnúť. Keď sa to skončí, [color=CHARTREUSE]Spud bude vedieť, kto boli skutoční hrdinovia[/color]."
Text/ce/text,Sme ďaleko za týmto bodom. Držať sa v ústraní nás nezachráni. [color=CHARTREUSE]Iba zvrhnutie systému to dokáže[/color].
Text/cf/text,Každá stanica teraz má nový [color=DARK_ORANGE]systém RealityScan[/color]. Detekuje neautorizované značky a falzifikáty.
Text/d0/text,Všetky dokumenty musia byť pred schválením oskenované. [color=CRIMSON]Zradcovia budú vykoreňovaní[/color]. Garantujem to.
Text/d1/text,"Pomáhať členom odboja sa práve stalo oveľa nebezpečnejším, ale [color=CHARTREUSE]pravda sa musí šíriť[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
