keys,da
Text/3a/text,"Checkpointet er genopbygget efter modstandsangrebet. Sikkerheden er uden fortilfælde, med propagandaudsendelser der priser de ""modige forsvarere""."
Text/3b/text,Jeg er blevet forfremmet til Regional Direktør for Grænsesikkerhed og [pulse freq=2]Rod Reserve Distribution[/pulse].
Text/3c/text,Russet fæstner en lille medalje på din uniform. Assisterende Regional Direktør... for din ubetingede loyalitet over for Spud.
Text/3d/text,Jeg har en speciel opgave! Premierminister Idaho vil inspicere vores facilitet i dag. Du er udvalgt til demonstration.
Text/3e/text,"Har du set den nye batch Rod Reserve? De kalder den 'Modstandsblanding' efter det, der skete med de tilfangetagne."
Text/3f/text,"Nogle siger, at modstanden ikke var helt forkert. At der er [wave amp=15 freq=3]beviser for, at de fortalte sandheden[/wave]..."
Choice/40/text,Vær forsigtig. Selv at tale sådan er farligt nu. (Forsigtig)
Choice/41/text,Jeg har haft de samme tanker. Dette føles ikke rigtigt. (Medfølende)
Text/42/text,Ikke alle tror længere på den officielle historie. Hold øjnene åbne under premierministerens besøg.
Text/43/text,"Der dannes en ny modstand. Mere stille, mere forsigtig. Hvis du vil vide mere... hold øje med det gule kartoffel-emblem."
Text/44/text,BEMÆRK: Premierminister Idahos kortege er ankommet. Alle betjente til tildelte poster. Inspektionsprotokoller i kraft.
Text/45/text,Din medalje føles tung - en belønning for loyalitet eller et tegn på skam? Snart skal du møde arkitekten bag Rod Reserve.
Text/46/text,"Efter udsendelsen, der afslørede Rod Reserve, er der brudt oprør ud over hele Spud. Premierminister Idaho forbliver barrikaderet i administrationsbygningen."
Text/47/text,Idaho planlægger en endelig udsendelse for at give skylden for Rod Reserve til os. Vi kan ikke lade ham omskrive historien. I dag ender vi hans regime.
Text/48/text,Du reddede mit liv på forarbejdningsanlægget. Nu har vi en chance for at redde hele Spud.
Text/49/text,Din viden om sikkerhedsprotokoller vil være afgørende for den endelige mission. Er du klar?
Choice/4a/text,"Jeg er klar. Lad os afslutte det, vi startede."
Choice/4b/text,Hvad er præcis planen? Jeg har brug for detaljer.
Text/4c/text,"Jeg vidste, du ikke ville give op. Du er en af vores [tornado radius=3 freq=2]stærkeste allierede[/tornado]."
Text/4d/text,Vi infiltrerer ved hjælp af regeringsuniformer. Du vil hjælpe med at omgå sikkerhedssystemer. Vores mål er at indfange Idaho og tvinge en offentlig tilståelse.
Text/4e/text,"Du vil være på Hold Alfa med Sasha, der trænger ind gennem den østlige indgang. Din opgave: [color=GREEN]sikre transmissionscentret[/color]."
Text/4f/text,"Fra loyal toldembedsmand til modstandskæmper? En forvandling, du aldrig forestillede dig. Uanset hvad der sker, vil Spud aldrig være det samme igen."
Choice/4a/disabled_text,
Choice/4b/disabled_text,
Choice/41/disabled_text,
Choice/40/disabled_text,
