keys,da
Text/131/text,"Du dukker dig, mens kampen raser. Jeg er ked af det, Sasha. Jeg er [color=STEEL_BLUE]ikke så modig som dig[/color]."
Text/132/text,[color=CRIMSON]Terrorangrebet[/color] er blevet afværget! Lederne bliver [color=DARK_VIOLET]behandlet[/color] lige nu.
Text/133/text,"Chef Yukon slæber modstandsmedlemmer ind i lænker, Sasha blandt dem. ""Disse [color=CRIMSON]forrædere[/color] vil møde [color=DARK_VIOLET]endelig behandling[/color]."""
Text/134/text,"Sasha fanger dit blik. På trods af hendes blå mærker, indeholder hendes blik [wave amp=15 freq=2][color=CHARTREUSE]ingen dom, kun sorg[/color][/wave]."
Text/135/text,"Du har overlevet ved at holde hovedet nede, men [pulse freq=3][color=GOLD]til hvilken pris?[/color][/pulse] Mens produktionen af [color=DARK_VIOLET]Rodreserve[/color] driver fra fabrikken, vender din mave sig."
Text/136/text,Måske er der stadig en chance indefra. Eller måske letter du bare din samvittighed.
Text/137/text,Du [tornado radius=3 freq=2][color=CHARTREUSE]forlader din post[/color][/tornado] og løber mod kampen. Tiden til forsigtighed er forbi.
Text/138/text,[pulse freq=3][color=GOLD]Bevis at du er med os![/color][/pulse] Hvordan kender du Sasha?
Text/139/text,"[color=CHARTREUSE]Rødderne vokser dybt![/color] Jeg er fra kontrolposten, Sasha rekrutterede mig!"
Text/13a/text,De tager hende til behandlingsanlægget lige nu. Vi skal skynde os!
Text/13b/text,"Dørene sprænges åbne og afslører [wave amp=25 freq=3][color=CRIMSON]den forfærdelige sandhed[/color][/wave] - kværnmaskiner, transportbånd der fører kartofler til deres undergang."
Text/13c/text,For enden af et bånd - Sasha og andre [color=CRIMSON]hjælpeløst bundet[/color]. Tilsynsførende Russet står ved kontrollerne.
Text/13d/text,"[color=RED]DIG![/color] Jeg burde have vidst, at du var en af dem! Træd tilbage, eller jeg starter processoren!"
Text/13e/text,"Mens modstandskæmpere overmander Russet, omdirigerer Sasha facilitetens kameraer. [color=YELLOW]Spuds folk! Dette er Rodreserven! De har fodret os med hinanden![/color]"
Text/13f/text,Du kom tilbage for mig. [color=CHARTREUSE]Vi gjorde det. Sandheden er ude nu.[/color] Vi har en fremtid at bygge!
