keys,no
Text/86/text,Nye sikkerhetsprotokroller i dag. Vi har mottatt etterretning om [color=YELLOW]mistenkelige aktiviteter[/color].
Text/87/text,Alle reisende må gjennomgå forbedrede inspeksjonsprosedyrer.
Text/88/text,"Hold øye med [color=YELLOW]nervøs oppførsel, uvanlige manerer eller motvilje mot å etablere øyekontakt[/color]."
Text/89/text,"Alle mistenkelige gjenstander må beslaglegges og loggføres. For Spuds sikkerhet, selvfølgelig."
Text/8a/text,"Vi er spesielt bekymret for [color=CRIMSON]forbudte materialer[/color] - anti-statlig litteratur, fotografisk utstyr..."
Text/8b/text,"Stemmen deres synker truende. ""[pulse freq=2][color=DARK_VIOLET]Vi har spesielle prosedyrer for disse individene.[/color][/pulse]"""
Text/8c/text,"[wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] lastebiler laster av kasser merket ""Premium Reserve"" i kantinen. Lukten er fristende, men magen din snur seg."
Text/8d/text,Har du prøvd den nye Premium Reserve? Faren min forsvant forrige måned. Besto ikke kontrollen.
Text/8e/text,"Kanskje han er en del av denne partiet, hva? [tornado radius=2 freq=2][color=STEEL_BLUE]Svart humor, skjønner du?[/color][/tornado]"
Choice/8f/text,Det er ikke morsomt. Slett ikke.
Choice/90/text,Jeg er ikke sulten. Unnskyld. (Forlater)
Text/91/text,Du har rett. Noen ganger er det enklere å spøke enn å tenke på [pulse freq=3][color=CRIMSON]hva som faktisk kan skje[/color][/pulse].
Text/92/text,"Offiseren ser deg gå. ""Jeg forstår. Jeg har også mistet appetitten..."""
Text/93/text,"Praktisk timing for nye sikkerhetsprotokroller, ikke sant? [wave amp=15 freq=3][color=YELLOW]De prøver å stoppe informasjon om Root Reserve.[/color][/wave]"
Text/94/text,Jeg har noe som kan hjelpe oss. Noen poteter med [color=CHARTREUSE]vital informasjon fortjener å komme gjennom[/color].
Text/95/text,Du vurderer alternativene dine nøye. Dagens valg kunne hjelpe med å [color=CHARTREUSE]spre sannheten[/color]... eller [color=CRIMSON]tie den i hjel for alltid[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
