keys,vi
Text/b8/text,"Cơ sở biên giới đang trong tình trạng phong tỏa hoàn toàn, với an ninh vũ trang tuần tra mọi hành lang."
Text/b9/text,[pulse freq=3][color=RED]CHÚ Ý! Tình huống an ninh MỨC ĐỎ![/color][/pulse] Tài liệu mật đã bị đánh cắp đêm qua.
Text/ba/text,Chúng ta có [tornado radius=4 freq=3][color=CRIMSON]kẻ phản bội trong hàng ngũ[/color][/tornado]. Bất kỳ ai giữ lại thông tin sẽ bị coi là đồng lõa.
Text/bb/text,"Tất cả sĩ quan, xếp hàng để [wave amp=15 freq=2][color=DARK_ORANGE]quét an ninh[/color][/wave]. Những người có phản ứng căng thẳng cao sẽ bị đánh dấu."
Text/bc/text,Bạn đã thấy chuyện gì đang xảy ra bên ngoài chưa? Khắp nơi là những tờ rơi cho thấy [color=DARK_VIOLET]Root Reserve[/color] được làm từ... [pulse freq=3][color=CRIMSON]từ chúng ta[/color][/pulse].
Choice/bd/text,Hãy hạ thấp giọng. Tất cả chúng ta đều đang bị theo dõi.
Choice/be/text,Tôi đã nghe những tin đồn tương tự. Thật kinh khủng nếu đó là sự thật.
Choice/bf/text,Đó là tuyên truyền vô lý. Đừng lan truyền những lời dối trá như vậy.
Text/c0/text,Bạn nói đúng. Nhưng nếu đó là sự thật... điều đó biến chúng ta thành gì?
Text/c1/text,Anh họ tôi đã bị từ chối tháng trước. Điều đó có nghĩa là...? Tôi [color=CHARTREUSE]không thể tiếp tục làm điều này nữa[/color].
Text/c2/text,Biểu hiện của họ trở nên cảnh giác. Tất nhiên rồi. Trung thành với Spud mãi mãi.
Text/c3/text,Hãy nêu rõ nơi bạn ở đêm qua từ 22:00 đến 04:00.
Choice/c4/text,"Tôi đã ở trong phòng suốt đêm, ngủ."
Choice/c5/text,Tôi muốn nói chuyện với đại diện pháp lý của tôi trước.
Text/c6/text,Mức độ căng thẳng của bạn cho thấy [color=YELLOW]sự dối trá[/color]. Tuy nhiên... không có kết luận. Bạn có thể đi bây giờ.
Text/c7/text,"Đại diện pháp lý? Đây là thủ tục an ninh, không phải phiên tòa. Việc từ chối của bạn đã được ghi nhận."
Text/c8/text,"Nó đang có hiệu quả. Các bản tuyên ngôn đã gây xôn xao, nhưng [color=DARK_ORANGE]Russet nghi ngờ chúng ta[/color]."
Text/c9/text,Hãy để ý các đồng minh từ tổ chức của chúng ta trong ca trực hôm nay. [color=CHARTREUSE]Bạn sẽ nhận ra họ[/color].
Text/ca/text,"Nếu bạn có thể đưa họ qua an toàn, hãy sử dụng [color=CHARTREUSE]dấu hiệu đặc biệt mà chúng ta đã thảo luận[/color]."
Choice/cb/text,Đáng để mạo hiểm. Tôi tham gia.
Choice/cc/text,Điều này đang trở nên quá nguy hiểm. Có lẽ chúng ta nên ẩn mình.
Text/cd/text,"Tôi biết tôi có thể trông cậy vào bạn. Khi tất cả kết thúc, [color=CHARTREUSE]Spud sẽ biết ai là những người hùng thực sự[/color]."
Text/ce/text,Chúng ta đã vượt qua điểm đó từ lâu. Ẩn mình sẽ không cứu được chúng ta. [color=CHARTREUSE]Chỉ có lật đổ hệ thống mới làm được điều đó[/color].
Text/cf/text,Mỗi trạm giờ đây đều có [color=DARK_ORANGE]hệ thống RealityScan mới[/color]. Nó phát hiện các dấu hiệu và giả mạo trái phép.
Text/d0/text,Tất cả tài liệu phải được quét trước khi phê duyệt. [color=CRIMSON]Những kẻ phản bội sẽ bị tiêu diệt[/color]. Tôi đảm bảo điều đó.
Text/d1/text,"Việc giúp đỡ các thành viên kháng chiến vừa trở nên nguy hiểm hơn nhiều, nhưng [color=CHARTREUSE]sự thật phải được lan truyền[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
