keys,cs
violation_condition_not_fresh,ODMÍTNOUT: Povoleny jsou pouze čerstvé brambory. Tato brambora je {condition}
violation_extra_eyes,ODMÍTNOUT: Stav Extra Oči je zakázán
violation_rotten,ODMÍTNOUT: Shnilé brambory jsou zakázány
violation_sprouted,ODMÍTNOUT: Naklíčené brambory jsou zakázány
violation_dehydrated,ODMÍTNOUT: Dehydrované brambory jsou zakázány
violation_frozen,ODMÍTNOUT: Zmrazené brambory jsou zakázány
violation_too_old,ODMÍTNOUT: Brambora je {age} let stará (maximální věk: 4 roky)
violation_too_young_3,ODMÍTNOUT: Brambora je {age} let stará (minimální věk: 4 roky)
violation_too_young_2,ODMÍTNOUT: Brambora je {age} let stará (minimální věk: 3 roky)
violation_males_only,ODMÍTNOUT: Povoleny jsou pouze samčí brambory
violation_females_only,ODMÍTNOUT: Povoleny jsou pouze samičí brambory
violation_country_spudland,ODMÍTNOUT: Všechny brambory ze Spudlandu jsou zakázány
violation_country_potatopia,ODMÍTNOUT: Všechny brambory z Potatopie jsou zakázány
violation_country_tuberstan,ODMÍTNOUT: Všechny brambory z Tuberstanu jsou zakázány
violation_country_north_yamnea,ODMÍTNOUT: Všechny brambory ze Severní Yamnea jsou zakázány
violation_country_spuddington,ODMÍTNOUT: Všechny brambory ze Spuddingtonu jsou zakázány
violation_country_tatcross,ODMÍTNOUT: Všechny brambory z Tatcrossu jsou zakázány
violation_country_mash_meadows,ODMÍTNOUT: Všechny brambory z Mash Meadows jsou zakázány
violation_country_tuberville,ODMÍTNOUT: Všechny brambory z Tuberville jsou zakázány
violation_country_chip_hill,ODMÍTNOUT: Všechny brambory z Chip Hill jsou zakázány (vývozní omezení)
violation_country_murphyland,ODMÍTNOUT: Všechny brambory z Murphylandu jsou zakázány
violation_country_colcannon,ODMÍTNOUT: Všechny brambory z Colcannonu jsou zakázány
violation_country_pratie_point,ODMÍTNOUT: Všechny brambory z Pratie Point jsou zakázány
violation_race_purple_majesty,ODMÍTNOUT: Typy Purple Majesty jsou zakázány
violation_race_sweet_potato,ODMÍTNOUT: Typy sladkých brambor vyžadují speciální povolení (nejsou k dispozici)
violation_race_yukon_gold,ODMÍTNOUT: Typy Yukon Gold jsou zakázány
violation_expired_document,ODMÍTNOUT: Dokument vypršel dne {date}
violation_invalid_potato,Tato brambora splňuje všechny požadavky a měla být schválena
