keys,fi
Text/b8/text,"Rajalaitoksessa on täydellinen sulku, aseistettu turvallisuushenkilöstö partioi jokaisessa käytävässä."
Text/b9/text,[pulse freq=3][color=RED]HUOMIO! TASO PUNAINEN turvallisuustilanne![/color][/pulse] Salaiset asiakirjat varastettiin viime yönä.
Text/ba/text,"Keskuudessamme on [tornado radius=4 freq=3][color=CRIMSON]petturi[/color][/tornado]. Jokaista, joka salaa tietoa, kohdellaan osallisena."
Text/bb/text,"Kaikki upseerit, asettukaa jonoon [wave amp=15 freq=2][color=DARK_ORANGE]turvallisuusskannausta[/color][/wave] varten. Ne, joilla on kohonneita stressireaktioita, merkitään."
Text/bc/text,"Oletko nähnyt, mitä ulkona tapahtuu? Kaikkialla on lehtisiä, jotka näyttävät, että [color=DARK_VIOLET]Root Reserve[/color] on tehty... [pulse freq=3][color=CRIMSON]meistä[/color][/pulse]."
Choice/bd/text,Pidä äänesi matalana. Meitä kaikkia tarkkaillaan.
Choice/be/text,"Olen kuullut samat huhut. Se on kauheaa, jos se on totta."
Choice/bf/text,Se on naurettavaa propagandaa. Älä levitä sellaisia valheita.
Text/c0/text,Olet oikeassa. Mutta jos se on totta... mitä se tekee meistä?
Text/c1/text,Serkkuni hylättiin viime kuussa. Tarkoittaako se...? [color=CHARTREUSE]En voi tehdä tätä enää[/color].
Text/c2/text,Heidän ilmeensä muuttuu varautuneeksi. Tietenkin. Lojaalisti Spudille ikuisesti.
Text/c3/text,Ilmoita olinpaikkasi viime yönä kello 22:00 ja 04:00 välillä.
Choice/c4/text,"Olin majoituksessani koko yön, nukkumassa."
Choice/c5/text,Haluaisin puhua ensin oikeudelliselle edustajalleni.
Text/c6/text,Stressitasosi viittaavat [color=YELLOW]petokseen[/color]. Kuitenkin... ei ratkaisevaa. Voit mennä toistaiseksi.
Text/c7/text,"Oikeudellinen edustaja? Tämä on turvallisuustoimenpide, ei oikeudenkäynti. Kieltäytymisesi on merkitty muistiin."
Text/c8/text,"Se toimii. Manifestit ovat aiheuttaneet hälinää, mutta [color=DARK_ORANGE]Russet epäilee meitä[/color]."
Text/c9/text,Tarkkaile liittolaisiamme organisaatiostamme tämän päivän vuoron aikana. [color=CHARTREUSE]Tunnistat heidät[/color].
Text/ca/text,"Jos voit saada heidät turvallisesti läpi, käytä [color=CHARTREUSE]erityistä merkkiä, josta keskustelimme[/color]."
Choice/cb/text,Se on riskin arvoista. Olen mukana.
Choice/cc/text,Tämä alkaa olla liian vaarallista. Ehkä meidän pitäisi pysyä matalalla profiililla.
Text/cd/text,"Tiesin, että voin luottaa sinuun. Kun tämä on ohi, [color=CHARTREUSE]Spud tietää, ketkä olivat todellisia sankareita[/color]."
Text/ce/text,Olemme jo kauan sitten ohittaneet sen pisteen. Matalalla profiililla pysyminen ei pelasta meitä. [color=CHARTREUSE]Vain järjestelmän kaataminen tekee sen[/color].
Text/cf/text,Jokaisella asemalla on nyt uusi [color=DARK_ORANGE]RealityScan-järjestelmä[/color]. Se havaitsee luvattomat merkinnät ja väärennökset.
Text/d0/text,Kaikki asiakirjat on skannattava ennen hyväksyntää. [color=CRIMSON]Petturit juuritaan pois[/color]. Takaan sen.
Text/d1/text,"Vastarintaliikkeen jäsenten auttamisesta on tullut paljon vaarallisempaa, mutta [color=CHARTREUSE]totuuden on levittävä[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
