keys,nl
Text/a6/text,De grensvoorziening voelt vandaag anders aan. Gespannen. Veiligheidspatrouilles in grotere aantallen terwijl behoedzame stilte het geklets vervangt.
Text/a7/text,Gisteravond werden [pulse freq=2][color=CRIMSON]verboden materialen[/color][/pulse] ontdekt. Pamfletten met leugens over [color=DARK_VIOLET]Root Reserve[/color].
Text/a8/text,We implementeren [wave amp=15 freq=2][color=DARK_ORANGE]dreigingsniveau ORANJE protocollen[/color][/wave]. Alle officieren worden onderworpen aan loyaliteitscontroles. Alle reizigers worden maximaal onderzocht.
Text/a9/text,Het werkt. De pamfletten verspreiden zich. Mensen stellen vragen over [color=DARK_VIOLET]Root Reserve[/color].
Text/aa/text,Ik heb bronnen die me vertellen dat er een verzendingslogboek in Russet's kantoor ligt - transportmanifesten die [tornado radius=3 freq=2][color=CHARTREUSE]alles kunnen bewijzen[/color][/tornado].
Text/ab/text,"Ik heb je hulp nodig om het te bemachtigen. Vanavond, na de laatste dienst. Kan ik op je rekenen?"
Choice/ac/text,Ik doe mee. Laten we de waarheid blootleggen.
Choice/ad/text,"Ik weet het niet, Sasha... dit kan gevaarlijk zijn."
Text/ae/text,Gelukkig. Ik wist dat je [color=CHARTREUSE]sterkere wortels had dan de anderen[/color]. We ontmoeten elkaar om middernacht.
Text/af/text,Soms moeten we [color=CHARTREUSE]het risico lopen geplet te worden om het juiste te doen[/color]. Denk erover na.
Text/b0/text,[color=DARK_ORANGE]Loyaliteitscontrole[/color]. Noem alstublieft uw naam en officiersidentificatie. Vertel me dan waarom u Spud dient.
Choice/b1/text,Ik dien om onze grenzen te beschermen tegen gevaarlijke invloeden.
Choice/b2/text,Ik dien om ervoor te zorgen dat iedereen een eerlijke behandeling krijgt.
Text/b3/text,"Goed antwoord. Spud heeft loyale beschermers nodig. Scanner toont groen. Ga verder, officier."
Text/b4/text,"De wenkbrauwen van de officier gaan omhoog. Eerlijke behandeling? Scanner knippert [color=DARK_ORANGE]oranje[/color]. Onthoud, onze primaire zorg is veiligheid, niet eerlijkheid."
Text/b5/text,Het quotum van vandaag is verhoogd. Iedereen met verdacht materiaal moet worden gemarkeerd voor [color=DARK_VIOLET]speciale verwerking[/color].
Text/b6/text,Ik zal [color=DARK_ORANGE]je beslissingen[/color] vandaag zeer zorgvuldig in de gaten houden.
Text/b7/text,"Vanavond kan alles veranderen. Maar eerst, [color=YELLOW]overleef de dag zonder verdenking te wekken[/color]."
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
