keys,sv
violation_condition_not_fresh,AVVISA: Endast färska potatisar tillåtna. Denna potatis är {condition}
violation_extra_eyes,AVVISA: Extra Ögon tillstånd är förbjudet
violation_rotten,AVVISA: Ruttna potatisar är förbjudna
violation_sprouted,AVVISA: Grodda potatisar är förbjudna
violation_dehydrated,AVVISA: Dehydrerade potatisar är förbjudna
violation_frozen,AVVISA: Frysta potatisar är förbjudna
violation_too_old,AVVISA: Potatis är {age} år gammal (maximal ålder: 4 år)
violation_too_young_3,AVVISA: Potatis är {age} år gammal (minimal ålder: 4 år)
violation_too_young_2,AVVISA: Potatis är {age} år gammal (minimal ålder: 3 år)
violation_males_only,AVVISA: Endast manliga potatisar tillåtna
violation_females_only,AVVISA: Endast kvinnliga potatisar tillåtna
violation_country_spudland,AVVISA: Alla Spudland potatisar är förbjudna
violation_country_potatopia,AVVISA: Alla Potatopia potatisar är förbjudna
violation_country_tuberstan,AVVISA: Alla Tuberstan potatisar är förbjudna
violation_country_north_yamnea,AVVISA: Alla North Yamnea potatisar är förbjudna
violation_country_spuddington,AVVISA: Alla Spuddington potatisar är förbjudna
violation_country_tatcross,AVVISA: Alla Tatcross potatisar är förbjudna
violation_country_mash_meadows,AVVISA: Alla Mash Meadows potatisar är förbjudna
violation_country_tuberville,AVVISA: Alla Tuberville potatisar är förbjudna
violation_country_chip_hill,AVVISA: Alla Chip Hill potatisar är förbjudna (exportrestriktioner)
violation_country_murphyland,AVVISA: Alla Murphyland potatisar är förbjudna
violation_country_colcannon,AVVISA: Alla Colcannon potatisar är förbjudna
violation_country_pratie_point,AVVISA: Alla Pratie Point potatisar är förbjudna
violation_race_purple_majesty,AVVISA: Purple Majesty typer är förbjudna
violation_race_sweet_potato,AVVISA: Sötpotatis typer kräver särskilda tillstånd (inte tillgängliga)
violation_race_yukon_gold,AVVISA: Yukon Gold typer är förbjudna
violation_expired_document,AVVISA: Dokumentet gick ut den {date}
violation_invalid_potato,Denna potatis uppfyller alla krav och borde ha godkänts
