keys,pl
Text/102/text,"Dobrze, udało ci się. Ruch oporu [color=CHARTREUSE]staje się silniejszy[/color]. Dzięki tym manifestom ludzie widzą prawdę."
Text/103/text,"Udało mi się zdobyć te akta z naszych źródeł - harmonogramy produkcji, listy '[color=CRIMSON]składników[/color]', nazwiska [color=DARK_SLATE_BLUE]zaginionych[/color]."
Text/104/text,To nie jest tylko program suplementów diety. Oni [color=CRIMSON]przetwarzają ziemniaki[/color]...i to nie w dobry sposób.
Text/105/text,"Wewnętrzne notatki od samego premiera Idaho, autoryzujące ""[color=DARK_ORANGE]wykorzystanie odrzuconych aktywów.[/color]"""
Text/106/text,"Kwoty dla każdego punktu kontrolnego, z Urzędem Celnym Ziemniaków mającym najwyższy wskaźnik odrzucenia do przetworzenia."
Text/107/text,"Sytuacja na zewnątrz uległa pogorszeniu. Wściekłe tłumy gromadzą się przy punktach kontrolnych, domagając się odpowiedzi na temat Root Reserve."
Text/108/text,[color=YELLOW]TRANSMISJA AWARYJNA[/color]: Ostatnia cyrkulacja [color=CRIMSON]sfałszowanych dokumentów[/color] wywołała niepotrzebną panikę.
Text/109/text,Nagroda w wysokości [color=GOLD]10 000 Kredytów Ziemniaczanych[/color] jest oferowana za informacje prowadzące do schwytania tych sabotażystów.
Text/10a/text,Konsumpcja lub rozpowszechnianie tej propagandy jest teraz klasyfikowane jako [color=RED]zdrada stanu[/color].
Text/10b/text,Dzisiejsza zmiana będzie działać według specjalnych protokołów. Każdy podróżny musi przejść Ocenę Lojalności.
Text/10c/text,"Ci, którzy demonstrują [color=CRIMSON]antyrządowe nastroje[/color], mają być natychmiast oznaczeni."
Text/10d/text,[color=CRIMSON]Zdrajca wśród nas[/color] zostanie znaleziony. A kiedy to nastąpi... [przeciąga palcem przez gardło]
Text/10e/text,"Zdenerwowany ziemniak podchodzi, [color=GOLD]żółta odznaka liścia[/color] częściowo widoczna. Mała notatka jest ukryta między papierami: ""[color=CHARTREUSE]Bezpieczny dom skompromitowany. Nowa lokalizacja: Magazyn 7, Sektor 4.[/color]"""
Choice/10f/text,Przepuść ich szybko z oznaczeniem UV (Pomoc)
Choice/110/text,Natychmiast zgłoś ich do ochrony (Zdrada)
Text/111/text,"Ulga zalewa ich twarz. ""Dziękuję. Prawda zwycięży."""
Text/112/text,"Horror pojawia się, gdy sygnalizujesz ochronie. ""[wave amp=25 freq=3]Nie, proszę! Mam rodzinę![/wave]"" Ich żółta odznaka spada na podłogę."
Text/113/text,Dobra robota. Twoja lojalność została odnotowana.
Text/114/text,Twoja decyzja została zauważona. Bądź gotowy. [tornado radius=3 freq=2][color=CHARTREUSE]Coś wielkiego nadchodzi[/color][/tornado]. Ruch oporu planuje bezpośrednią akcję.
Text/115/text,"Kiedy to się stanie, będziesz musiał [color=YELLOW]wybrać stronę[/color]. Nie będzie już żadnego środkowego gruntu."
Text/116/text,"Z każdym ziemniakiem, który przetwarzasz, albo [pulse freq=2][color=CHARTREUSE]pomagasz rewolucji[/color][/pulse], albo [pulse freq=2][color=CRIMSON]umożliwiasz przerażający system[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
