keys,fr
Text/131/text,"Tu te baisses pendant que la bataille fait rage. Je suis désolé, Sasha. Je [color=STEEL_BLUE]ne suis pas aussi courageux que toi[/color]."
Text/132/text,L'[color=CRIMSON]attaque terroriste[/color] a été repoussée ! Les meneurs sont en train d'être [color=DARK_VIOLET]traités[/color] en ce moment même.
Text/133/text,"Le Chef Yukon traîne des membres de la résistance enchaînés, Sasha parmi eux. ""Ces [color=CRIMSON]traîtres[/color] feront face au [color=DARK_VIOLET]traitement final[/color]."""
Text/134/text,"Sasha croise ton regard. Malgré ses ecchymoses, son regard contient [wave amp=15 freq=2][color=CHARTREUSE]aucun jugement, seulement de la tristesse[/color][/wave]."
Text/135/text,"Tu as survécu en gardant la tête baissée, mais [pulse freq=3][color=GOLD]à quel prix ?[/color][/pulse] Alors que la production de [color=DARK_VIOLET]Réserve Racine[/color] émane de l'usine, ton estomac se retourne."
Text/136/text,Peut-être qu'il y a encore une chance de l'intérieur. Ou peut-être que tu apaises simplement ta conscience.
Text/137/text,Tu [tornado radius=3 freq=2][color=CHARTREUSE]abandonnes ton poste[/color][/tornado] et cours vers le combat. Le temps de la prudence est révolu.
Text/138/text,[pulse freq=3][color=GOLD]Prouve que tu es avec nous ![/color][/pulse] Comment connais-tu Sasha ?
Text/139/text,"[color=CHARTREUSE]Les racines poussent profondément ![/color] Je viens du point de contrôle, Sasha m'a recruté !"
Text/13a/text,Ils l'emmènent à l'usine de traitement en ce moment. Nous devons nous dépêcher !
Text/13b/text,"Les portes explosent, révélant la [wave amp=25 freq=3][color=CRIMSON]terrible vérité[/color][/wave] - des machines à broyer, des convoyeurs transportant des pommes de terre vers leur perte."
Text/13c/text,Au bout d'un tapis - Sasha et d'autres [color=CRIMSON]attachés sans défense[/color]. Le Superviseur Russet se tient aux commandes.
Text/13d/text,[color=RED]TOI ![/color] J'aurais dû savoir que tu étais l'un d'entre eux ! Recule ou je démarre le processeur !
Text/13e/text,"Alors que les combattants de la résistance maîtrisent Russet, Sasha redirige les caméras de l'installation. [color=YELLOW]Peuple de Spud ! C'est la Réserve Racine ! Ils nous ont nourris les uns aux autres ![/color]"
Text/13f/text,Tu es revenu pour moi. [color=CHARTREUSE]Nous avons réussi. La vérité est maintenant connue.[/color] Nous avons un avenir à construire !
