keys,sv
Text/102/text,"Bra, du klarade det. Motståndet blir [color=CHARTREUSE]starkare[/color]. Tack vare dessa manifest ser folk sanningen."
Text/103/text,"Jag lyckades få tag på den här dossieren från våra källor - produktionsscheman, '[color=CRIMSON]ingrediens[/color]' listor, namn på de [color=DARK_SLATE_BLUE]försvunna[/color]."
Text/104/text,Detta är inte bara ett kosttillskottsprogram. De [color=CRIMSON]bearbetar potatis[/color]...och inte på ett bra sätt.
Text/105/text,"Interna meddelanden från premiärminister Idaho själv, som godkänner ""[color=DARK_ORANGE]användning av avvisade tillgångar.[/color]"""
Text/106/text,"Kvoter för varje kontrollpunkt, med Potatis Tullen som har den högsta avvisning-till-bearbetning-kvoten."
Text/107/text,Situationen utanför har försämrats. Arga folkmassor samlas vid kontrollpunkter och kräver svar om Root Reserve.
Text/108/text,[color=YELLOW]NÖDSÄNDNING[/color]: Den senaste cirkulationen av [color=CRIMSON]förfalskade dokument[/color] har orsakat onödig panik.
Text/109/text,En belöning på [color=GOLD]10 000 Potatispoäng[/color] erbjuds för information som leder till gripandet av dessa sabotörer.
Text/10a/text,Att konsumera eller distribuera denna propaganda klassificeras nu som [color=RED]högförräderi[/color].
Text/10b/text,Dagens skift kommer att fungera under särskilda protokoll. Varje resenär måste genomgå en Lojalitetsbedömning.
Text/10c/text,De som uppvisar [color=CRIMSON]anti-regeringskänslor[/color] ska flaggas omedelbart.
Text/10d/text,[color=CRIMSON]Förrädaren bland oss[/color] kommer att hittas. Och när de gör det... [drar fingret över halsen]
Text/10e/text,"En nervös potatis närmar sig, [color=GOLD]gult blad-märke[/color] delvis synligt. En liten lapp är instoppad mellan papperen: ""[color=CHARTREUSE]Säkert hus komprometterat. Ny plats: Lager 7, Sektor 4.[/color]"""
Choice/10f/text,Processa dem snabbt med UV-märkningen (Hjälp)
Choice/110/text,Rapportera dem till säkerheten omedelbart (Förråd)
Text/111/text,"Lättnad sveper över deras ansikte. ""Tack. Sanningen kommer att segra."""
Text/112/text,"Fasa gryr när du signalerar till säkerheten. ""[wave amp=25 freq=3]Nej, snälla! Jag har en familj![/wave]"" Deras gula märke faller till golvet."
Text/113/text,Bra gjort. Din lojalitet är noterad.
Text/114/text,Ditt beslut noterades. Var beredd. [tornado radius=3 freq=2][color=CHARTREUSE]Något stort är på väg[/color][/tornado]. Motståndet planerar en direkt aktion.
Text/115/text,När det händer kommer du att behöva [color=YELLOW]välja sida[/color]. Det kommer inte att finnas någon medelväg kvar.
Text/116/text,"Med varje potatis du bearbetar, antingen [pulse freq=2][color=CHARTREUSE]hjälper du en revolution[/color][/pulse] eller [pulse freq=2][color=CRIMSON]möjliggör du ett fruktansvärt system[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
