keys,cs
Text/d2/text,Po směně jste zaveden na tajné setkání odboje v opuštěné továrně na škrob.
Text/d3/text,Ošlehaný brambor s jizvami z bitev oslovuje shromážděnou skupinu.
Text/d4/text,Čas pro šepoty a letáky skončil. Vláda ukázala svou pravou tvář.
Text/d5/text,"Naše zdroje potvrzují, že zpracovatelské závody [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] zvyšují produkci."
Text/d6/text,"Což znamená [tornado radius=3 freq=3][color=CRIMSON]více našich bratrů a sester zmizelo, zpracováno, zkonzumováno[/color][/tornado]."
Text/d7/text,Vůdce udeří pěstí do stolu. [pulse freq=3][color=CHARTREUSE]Tohle teď končí.[/color][/pulse] Máme plán zaútočit na srdce jejich operace.
Text/d8/text,Saša rozbalí na stole podrobné plány. Za tři dny zahájíme naši hlavní ofenzívu.
Text/d9/text,"Zatímco jeden tým vytvoří diverzní akci u hlavního vládního komplexu, druhý infiltruje největší zařízení Root Reserve."
Text/da/text,"Náš cíl: získat [color=CHARTREUSE]nevyvratitelné důkazy[/color] o tom, co se uvnitř děje, a vysílat je do celého Spudu."
Text/db/text,Saša ukazuje na část plánů. Tady přicházíte na řadu vy.
Text/dc/text,"Potřebujeme někoho zevnitř v Celní správě Spudu, kdo zajistí, že naši operativci budou moci překročit hranici pro tuto misi."
Text/dd/text,"Můžeme počítat s tím, že budete tou osobou?"
Choice/de/text,"Udělám cokoli, co bude potřeba, abych odhalil pravdu."
Choice/df/text,Zní to nebezpečně. Co když nás chytí?
Choice/e0/text,"Existuje jiný způsob, který by neohrozil tolik lidí?"
Text/e1/text,Sašina tvář se rozzáří nadějí. Děkuji. [color=CHARTREUSE]Vaše odvaha zachrání nespočet životů.[/color]
Text/e2/text,"Stiskne vám ruku. Až tohle všechno skončí, [color=CHARTREUSE]budete pamatován jako hrdina revoluce.[/color]"
Text/e3/text,Saša vážně přikývne. Je to nebezpečné. Nebudu vám o tom lhát.
Text/e4/text,"Všichni můžeme skončit [color=DARK_VIOLET]zpracováni na Root Reserve[/color], pokud selžeme."
Text/e5/text,"Ale nedělat nic je ještě nebezpečnější. Pro nás všechny, z dlouhodobého hlediska."
Text/e6/text,Sašin výraz zvážní. Zkoušeli jsme jiné způsoby. Po léta.
Text/e7/text,Petice. Tichá diplomacie. Anonymní tipy. Nic nefungovalo.
Text/e8/text,"Někdy musíte riskovat všechno, abyste cokoli změnili."
Text/e9/text,Mezi členy odboje vypukne vášnivá debata.
Text/ea/text,Někteří argumentují pro agresivnější přístup - úplné zničení zpracovatelských závodů.
Text/eb/text,"Jiní trvají na tom, že násilné akce jen obrátí veřejné mínění proti nim."
Text/ec/text,DOST! Vůdce umlčí místnost velitelským hlasem.
Text/ed/text,"Nemůžeme si dovolit být rozděleni. Ne teď, když jsme tak blízko."
Text/ee/text,"Náš cíl je jednoduchý: odhalit pravdu. Nechte lid rozhodnout, co bude dál."
Text/ef/text,"Vůdce se obrací přímo k vám. Ale potřebujeme vědět, [color=YELLOW]na čí straně stojíte[/color]."
Text/f0/text,Za tři dny se naši agenti přiblíží k vašemu kontrolnímu stanovišti. Budou mít [color=CHARTREUSE]modré identifikační karty[/color].
Text/f1/text,Pomůžete jim přejít? Vaše odpověď nyní určí náš další krok.
Choice/f2/text,Pomůžu jim přejít. Pro budoucnost Spudu.
Choice/f3/text,"Nemohu být přímo zapojen, ale budu se dívat jinam."
Choice/f4/text,Potřebuji více času na přemýšlení o tom.
Text/f5/text,Vůdce vám pevně stiskne rameno. [color=CHARTREUSE]Vaše odvaha nás všechny ctí.[/color]
Text/f6/text,"Třetí den, když slunce bude nejvýše, přijdou naši agenti."
Text/f7/text,"Heslo je ""[wave amp=15 freq=3][color=CHARTREUSE]Kořeny rostou hluboko.[/color][/wave]"" Pamatujte si to."
Text/f8/text,"Vůdce pomalu přikývne, zřejmě zklamaný, ale chápající."
Text/f9/text,"Někdy je nejvíc, o co můžeme žádat, aby nám lidé nestáli v cestě."
Text/fa/text,Naši agenti budou postupovat podle plánu. Jen... nezvyšujte poplach.
Text/fb/text,"Vůdcův výraz se zpřísní. [color=YELLOW]Čas je luxus, který nemáme.[/color]"
Text/fc/text,"Ale nutit kohokoli, aby se připojil k naší věci, nás nedělá o nic lepšími než oni."
Text/fd/text,Budeme pokračovat bez spoléhání na vaši pomoc. Hledejte ve svém svědomí.
Text/fe/text,"Jak se schůzka rozchází, Saša vás doprovází zpět směrem ke kontrolnímu stanovišti."
Text/ff/text,"Ať se stane cokoli... děkuji za všechno, co jste udělal."
Text/100/text,"Vracíte se do svých ubikací na kontrolním stanovišti, mysl vám závodí pod tíhou nadcházejících událostí."
Text/101/text,Za pouhé tři dny by se všechno mohlo změnit. [color=YELLOW]K lepšímu nebo horšímu.[/color]
Choice/de/disabled_text,
Choice/f4/disabled_text,
Choice/f3/disabled_text,
Choice/f2/disabled_text,
Choice/e0/disabled_text,
Choice/df/disabled_text,
