keys,pl
Text/b8/text,"Obiekt graniczny jest w całkowitej blokadzie, z uzbrojoną ochroną patrolującą każdy korytarz."
Text/b9/text,[pulse freq=3][color=RED]UWAGA! Sytuacja bezpieczeństwa POZIOM CZERWONY![/color][/pulse] Tajne dokumenty zostały skradzione zeszłej nocy.
Text/ba/text,"Mamy [tornado radius=4 freq=3][color=CRIMSON]zdrajcę wśród nas[/color][/tornado]. Każdy, kto zataja informacje, będzie traktowany jako współwinny."
Text/bb/text,"Wszyscy oficerowie, ustawcie się w kolejce do [wave amp=15 freq=2][color=DARK_ORANGE]skanowania bezpieczeństwa[/color][/wave]. Osoby z podwyższonymi reakcjami stresowymi zostaną oznaczone."
Text/bc/text,"Czy widziałeś, co się dzieje na zewnątrz? Wszędzie ulotki pokazujące, że [color=DARK_VIOLET]Root Reserve[/color] jest zrobiony z... [pulse freq=3][color=CRIMSON]z nas[/color][/pulse]."
Choice/bd/text,Ścisz głos. Wszyscy jesteśmy obserwowani.
Choice/be/text,"Słyszałem te same plotki. To przerażające, jeśli to prawda."
Choice/bf/text,To śmieszna propaganda. Nie rozpowszechniaj takich kłamstw.
Text/c0/text,Masz rację. Ale jeśli to prawda... kim to nas czyni?
Text/c1/text,Mój kuzyn został odrzucony w zeszłym miesiącu. Czy to oznacza...? [color=CHARTREUSE]Nie mogę już tego robić[/color].
Text/c2/text,Ich wyraz twarzy staje się ostrożny. Oczywiście. Na zawsze lojalny wobec Spuda.
Text/c3/text,Podaj swoje miejsce pobytu zeszłej nocy między 22:00 a 04:00.
Choice/c4/text,"Byłem w moich kwaterach całą noc, spałem."
Choice/c5/text,Wolałbym najpierw porozmawiać z moim przedstawicielem prawnym.
Text/c6/text,Twój poziom stresu wskazuje na [color=YELLOW]oszustwo[/color]. Jednak... niejednoznacznie. Możesz iść na razie.
Text/c7/text,"Przedstawiciel prawny? To jest procedura bezpieczeństwa, nie proces. Twoja odmowa została odnotowana."
Text/c8/text,"To działa. Manifesty wywołały poruszenie, ale [color=DARK_ORANGE]Russet nas podejrzewa[/color]."
Text/c9/text,Wypatruj sojuszników z naszej organizacji podczas dzisiejszej zmiany. [color=CHARTREUSE]Rozpoznasz ich[/color].
Text/ca/text,"Jeśli możesz bezpiecznie ich przeprowadzić, użyj [color=CHARTREUSE]specjalnego znaku, o którym rozmawialiśmy[/color]."
Choice/cb/text,Warto zaryzykować. Jestem w to zaangażowany.
Choice/cc/text,To staje się zbyt niebezpieczne. Może powinniśmy się przyczaić.
Text/cd/text,"Wiedziałem, że mogę na ciebie liczyć. Kiedy to się skończy, [color=CHARTREUSE]Spud będzie wiedział, kto był prawdziwym bohaterem[/color]."
Text/ce/text,Jesteśmy daleko poza tym punktem. Przyczajenie się nas nie uratuje. [color=CHARTREUSE]Tylko obalenie systemu to zrobi[/color].
Text/cf/text,Każda stacja ma teraz nowy [color=DARK_ORANGE]system RealityScan[/color]. Wykrywa on nieautoryzowane oznaczenia i fałszerstwa.
Text/d0/text,Wszystkie dokumenty muszą zostać zeskanowane przed zatwierdzeniem. [color=CRIMSON]Zdrajcy zostaną wykorzenieni[/color]. Gwarantuję to.
Text/d1/text,"Pomaganie członkom ruchu oporu stało się o wiele bardziej niebezpieczne, ale [color=CHARTREUSE]prawda musi się rozprzestrzeniać[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
