keys,pt
dialogue_spud_being_called_1,"Próximo passo, teu destino espera."
dialogue_spud_being_called_2,"Frente da fila, momento da verdade se aproxima."
dialogue_spud_being_called_3,"Avança, escolhido da estirpe dos tubérculos."
dialogue_spud_being_called_4,Parabéns! Tua espera teve sucesso.
dialogue_spud_being_called_5,A Grande Burocracia da Batata te convoca.
dialogue_spud_being_called_6,"Avança, nobre tubérculo! Os papéis esperam!"
dialogue_spud_being_called_7,Move-te! O carimbo fica inquieto.
dialogue_spud_being_called_8,Move-te com agilidade! O formulário P-38B precisa ser preenchido.
dialogue_spud_being_called_9,"Vem adiante, o destino exige tua entrada."
dialogue_spud_being_called_10,"Aproxima-te do balcão do julgamento, tubérculo."
dialogue_spud_in_office_1,"Por favor, sê paciente. O tempo é uma ilusão."
dialogue_spud_in_office_2,A espera constrói caráter. E amido.
dialogue_spud_in_office_3,A fila move-se de maneiras misteriosas.
dialogue_spud_in_office_4,Tua posição é anotada pelas autoridades.
dialogue_spud_in_office_5,Fazer fila: a constante universal.
dialogue_spud_in_office_6,Nenhum tubérculo está pronto antes de temperado pela espera.
dialogue_spud_in_office_7,"Paciência: não a única virtude, mas mencionada."
dialogue_spud_in_office_8,As rodas burocráticas giram devagar. Muito devagar.
dialogue_spud_in_office_9,"Ah, o doce som do procedimento!"
dialogue_spud_in_office_10,A fila de hoje é a anedota de amanhã.
dialogue_spud_in_office_11,O tempo nas filas se dobra. Foi medido.
dialogue_spud_in_office_12,Habilidade de espera: Nível 43 alcançado!
dialogue_warnings_1,Aqueles que se opõem serão descascados com precisão.
dialogue_warnings_2,Furadores de fila são enviados para Processamento Expresso.
dialogue_warnings_3,Perturbar a fila desencadeia palestras sobre filas.
dialogue_warnings_4,A insubordinação leva à Sala do Óleo Quente.
dialogue_warnings_5,"Não precisamos ser justos, apenas organizados."
dialogue_warnings_6,O Comitê de Conformidade da Batata vê tudo.
dialogue_warnings_7,Perturbadores: esmagados sem manteiga.
dialogue_warnings_8,Criadores de caos se tornam batatas fritas. Rapidamente.
dialogue_warnings_9,Infratores enfrentam status de dupla fritura.
dialogue_warnings_10,Auditores de Fila marcaram tua existência.
dialogue_warnings_11,Teu arquivo: marcado com o carimbo VERMELHO.
dialogue_misc_1,Onde estão todos?
dialogue_misc_2,Emergência? Continue esperando em ordem.
dialogue_misc_3,Leste o parágrafo sete do acordo de espera?
dialogue_misc_4,"Propriedade perdida: encontrada, tributada, extraviada."
dialogue_misc_5,"Se uma batata reclama, produz som?"
dialogue_misc_6,Luz substituída por placa: 'Mais Túnel.'
dialogue_misc_7,A morte é temporária. A burocracia é eterna.
dialogue_misc_8,O sistema de arquivo atingiu consciência. Mantenha a calma.
dialogue_misc_9,Os números da sorte de hoje não significam nada. Desculpe.
dialogue_misc_10,"Apocalipse? Pegue um número, espere desaparecer."
dialogue_misc_11,Sem evidências significa mais formulários.
dialogue_document_interaction_1,"Pegue seus documentos, por favor."
dialogue_document_interaction_2,PEGUE-OS!
