keys,nl
main_menu_feedback,Feedback en bugs
main_menu_version,Versie 1.2.0
main_menu_new_game,Nieuw spel
main_menu_continue,Doorgaan
main_menu_level_select,Niveau selectie
main_menu_score_attack,Score aanval
main_menu_options,Opties
main_menu_credits,Aftiteling
main_menu_exit,Afsluiten
select_language,Taal
social_discord_tooltip,Word lid van onze Discord!
social_steam_tooltip,Bezoek ons op Steam
social_twitch_tooltip,Twitch-integratie
twitch_status_disabled,Uitgeschakeld
twitch_status_no_viewers,Geen kijkers in pool
twitch_status_ready,{count} kijkers klaar
twitch_connection_disabled,Uitgeschakeld
twitch_connection_disconnected,Niet verbonden
twitch_connection_connected,Verbonden
twitch_connection_connecting,Verbinden...
options_menu_title,Opties
options_difficulty,Moeilijkheidsgraad
options_difficulty_easy,Gemakkelijk
options_difficulty_normal,Normaal
options_difficulty_expert,Deskundige
options_music_volume,Muziekvolume
options_sfx_volume,Geluidseffecten volume
options_camera_shake,Camera schudden
options_back,Terug
paused_menu_title,Gepauzeerd
shift_summary_title,DIENST SAMENVATTING
shift_summary_continue,Doorgaan
shift_summary_restart,Herstarten
shift_summary_main_menu,Hoofdmenu
shift_summary_submit_score,Score indienen
shift_summary_runner_stats,RENNER STATISTIEKEN
shift_summary_document_stats,DOCUMENT STATISTIEKEN
shift_summary_performance,PRESTATIE
shift_summary_bonuses,BONUSSEN
_FORMAT KEYS,
time_format,{minutes}min {seconds}sec
_SHIFT SUMMARY DETAILS,
shift_complete_success,DIENST {shift} VOLTOOID\nSUCCES!
shift_complete_failure,DIENST {shift} VOLTOOID\n{failure}
strike_limit_reached,STAKINGSLIMIET BEREIKT!
quota_not_met,QUOTUM NIET GEHAALD!
shift_summary_title_with_difficulty,DIENST SAMENVATTING\n{difficulty}
runner_stats_template,\nRENNER STATISTIEKEN\nRenner pogingen: {runner_attempts}\nRaketten afgevuurd: {fired}\nRenners geraakt: {hit}\nPerfecte treffers: {perfect}\nTrefpercentage: {rate}%
document_stats_template,DOCUMENT STATISTIEKEN\nDocumenten gestempeld: {stamped}\nAardappelen goedgekeurd: {approved}\nAardappelen afgekeurd: {rejected}\nPerfecte stempels: {perfect_stamps}
bonus_stats_template,BONUSSEN\nVerwerkingssnelheid bonus: {processing_speed_bonus}\nStempelprecisie bonus: {accuracy}\nPerfecte treffers bonus: {perfect_hit_bonus}\nTotale score bonus: {total_score_bonus}
performance_stats_template,PRESTATIE\nTijd genomen: {time_taken}\nVerwachte score: {expected_score}\nTotale score: {score}\nOverscoringspercentage: {percent}%\nPrestatiewaardering:\n{rating}
performance_exceptional,Uitzonderlijk!
performance_excellent,Uitstekend!
performance_good,Goed
performance_needs_improvement,Moet verbeteren
performance_poor,Slecht
global_leaderboard_title,Wereldwijde ranglijst\n- {difficulty}
getting_leaderboard_scores,Leaderboard scores ophalen...
_PAUSE OPTIONS OVERLAY,
reset_game_label,Spel resetten:
reset_game_button,Resetten
mute_label,Dempen
fullscreen_label,Volledig scherm:
resolution_label,Resolutie:
antialiasing_label,Anti-Aliasing:
screenshake_label,Schermschudding:
mouse_sens_label,Muisgevoeligheid:
___ LOADING SCREEN,
Loading…,Laden...
___ DIALOGS IN GAME,
You lose.,Je verliest.
You won!,Je hebt gewonnen!
Thanks for playing!,Bedankt voor het spelen!
Please Confirm...,Bevestigen...
Go back to main menu?,Terug naar het hoofdmenu?
Quit the game?,Spel afsluiten?
Cancel,Annuleren
OK,OK
___ OPTIONS MENU,
Controls,Besturing
Mouse Sensitivity :,Muisgevoeligheid:
Actions & Inputs,Acties en invoer
Add,Toevoegen
Remove,Verwijderen
Assign Key for {action},Toets toewijzen aan {action}
Listening for input...,Luisteren naar invoer...
Press again to confirm...,Druk nogmaals om te bevestigen...
Focus here to assign inputs.,Focus hier om invoer toe te wijzen.
Already Assigned,Al toegewezen
{key} already assigned to {action}.,{key} is al toegewezen aan {action}.
Remove Key for {action},Toets verwijderen voor {action}
Are you sure you want to remove {key} from {action}?,Weet je zeker dat je {key} uit {action} wilt verwijderen?
Reset,Resetten
Audio,Geluid
Master :,Master:
Music :,Muziek:
SFX :,SFX:
