keys,fr
Text/117/text,Le point de contrôle s'est transformé en avant-poste militaire. Des gardes d'élite en uniformes noirs patrouillent avec des armes bien en vue.
Text/118/text,"Je suis l'Officier en Chef de la Sécurité Yukon, envoyé de la capitale par le Premier Ministre Idaho."
Text/119/text,"Les renseignements indiquent qu'une [pulse freq=2][color=YELLOW]attaque terroriste est imminente[/color][/pulse]. La ""résistance"" prévoit de s'infiltrer demain."
Text/11a/text,Tous les officiers seront soumis à un [wave amp=15 freq=2][color=DARK_ORANGE]contrôle de loyauté[/color][/wave]. Un comportement suspect signifie détention et [color=DARK_VIOLET]traitement[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]Une coopération totale[/color][/tornado] avec la Sécurité est obligatoire. Mes rapports sur chacun d'entre vous ont été fournis au Chef.
Text/11c/text,Le regard de Russet s'attarde inconfortablement sur vous avant de passer à autre chose.
Text/11d/text,Voici le [color=DARK_ORANGE]IdentityScan 5000[/color]. Il analyse les données biométriques pour détecter les infiltrés et les sympathisants.
Text/11e/text,Toute personne signalée fera face à un [color=CRIMSON]interrogatoire renforcé[/color]. Utilisez-le sans exception.
Text/11f/text,"Avez-vous vu Sasha ? Elle ne s'est pas présentée à l'appel. Hier soir, [color=CRIMSON]les forces de sécurité sont entrées dans ses quartiers[/color]."
Text/120/text,Ils disent qu'elle faisait partie de la [pulse freq=2][color=CHARTREUSE]résistance[/color][/pulse].
Choice/121/text,Nous ne devrions pas parler de ça. C'est dangereux.
Choice/122/text,Je m'inquiète aussi pour elle. Ce n'est pas normal.
Text/123/text,Tu as raison. Mais fais attention. Ils cherchent des liens avec elle.
Text/124/text,Alors vous étiez proches ? Sois prudent. Ils te surveillent peut-être aussi.
Text/125/text,"L'officier vous glisse une note : ""[color=YELLOW]Nettoyez votre poste de tout élément suspect.[/color]"""
Text/126/text,Vous êtes à ce point de contrôle depuis un certain temps. Dossier de performance intéressant.
Text/127/text,"On vous a souvent vu avec l'Officier Sasha, maintenant sous enquête pour [wave amp=20 freq=3][color=CRIMSON]trahison[/color][/wave]."
Text/128/text,Le chef se penche en avant. Y a-t-il quelque chose que vous aimeriez me dire sur ses activités ?
Choice/129/text,Sasha et moi n'étions que des collègues. Je ne sais rien d'elle en dehors du travail.
Choice/12a/text,Je rassemblais des preuves sur ses activités suspectes pour les signaler plus tard.
Text/12b/text,"Plusieurs témoins disent le contraire. Sans preuves concrètes cependant, je ne peux pas vous détenir. [color=YELLOW]Pas encore.[/color]"
Text/12c/text,"Vous serez sous [color=CRIMSON]surveillance étroite[/color]. Un faux pas, et vous [color=DARK_VIOLET]rejoindrez Sasha[/color]."
Text/12d/text,Comme c'est pratique. Et pourtant vous n'avez déposé aucun rapport jusqu'à présent.
Text/12e/text,"Vous fournirez une déclaration complète. Si vos informations s'avèrent précieuses, nous pourrons peut-être passer outre votre signalement tardif."
Text/12f/text,Je vais [color=CRIMSON]surveiller votre travail[/color] aujourd'hui. Chaque voyageur doit être scanné pour identification. [color=RED]Aucune exception[/color].
Text/130/text,"Sasha a été emmenée. Le plan de la résistance est [color=CRIMSON]compromis[/color]. Avec la sécurité en alerte maximale, leurs chances semblent désespérées."
Choice/121/disabled_text,
Choice/12a/disabled_text,
Choice/129/disabled_text,
Choice/122/disabled_text,
