keys,hu
Text/b8/text,"A határlétesítmény teljes zárlat alatt áll, fegyveres biztonsági őrök járőröznek minden folyosón."
Text/b9/text,[pulse freq=3][color=RED]FIGYELEM! VÖRÖS SZINTŰ biztonsági helyzet![/color][/pulse] Titkosított dokumentumokat loptak el tegnap éjjel.
Text/ba/text,"Van egy [tornado radius=4 freq=3][color=CRIMSON]áruló közöttünk[/color][/tornado]. Bárkit, aki visszatart információt, bűnrészesként kezelünk."
Text/bb/text,"Minden tiszt sorakozzon fel [wave amp=15 freq=2][color=DARK_ORANGE]biztonsági szkennelésre[/color][/wave]. Akiknél emelkedett stresszreakciót észlelünk, megjelölésre kerülnek."
Text/bc/text,"Láttad, mi történik odakint? Mindenhol röplapok, amelyek azt mutatják, hogy a [color=DARK_VIOLET]Root Reserve[/color] készül... [pulse freq=3][color=CRIMSON]belőlünk[/color][/pulse]."
Choice/bd/text,Halkítsd le a hangod. Mindannyiunkat figyelnek.
Choice/be/text,"Én is ugyanezeket a pletykákat hallottam. Borzasztó, ha igaz."
Choice/bf/text,Ez nevetséges propaganda. Ne terjessz ilyen hazugságokat.
Text/c0/text,Igazad van. De ha igaz... mivé tesz ez minket?
Text/c1/text,Az unokatestvéremet elutasították a múlt hónapban. Ez azt jelenti...? [color=CHARTREUSE]Nem bírom ezt tovább csinálni[/color].
Text/c2/text,Arckifejezésük zárkózottá válik. Persze. Örökké hűséges Spud.
Text/c3/text,Közölje a tartózkodási helyét tegnap este 22:00 és 04:00 óra között.
Choice/c4/text,"Egész éjjel a szállásomon voltam, aludtam."
Choice/c5/text,Inkább először a jogi képviselőmmel beszélnék.
Text/c6/text,A stressz-szintjei [color=YELLOW]megtévesztésre[/color] utalnak. Azonban... nem meggyőző. Egyelőre elmehet.
Text/c7/text,"Jogi képviselő? Ez egy biztonsági eljárás, nem tárgyalás. Az elutasítását feljegyeztük."
Text/c8/text,"Működik. A kiáltványok felfordulást okoztak, de [color=DARK_ORANGE]Russet gyanakszik ránk[/color]."
Text/c9/text,Figyelje a szövetségeseinket a szervezetünkből a mai műszak során. [color=CHARTREUSE]Fel fogja ismerni őket[/color].
Text/ca/text,"Ha biztonságosan át tudja őket juttatni, használja a [color=CHARTREUSE]megbeszélt különleges jelet[/color]."
Choice/cb/text,Megéri a kockázatot. Benne vagyok.
Choice/cc/text,Ez kezd túl veszélyessé válni. Talán meghúzódva kellene maradnunk.
Text/cd/text,"Tudtam, hogy számíthatok rád. Amikor ennek vége, [color=CHARTREUSE]Spud tudni fogja, kik voltak az igazi hősök[/color]."
Text/ce/text,Már rég túl vagyunk azon a ponton. A meghúzódás nem fog megmenteni minket. [color=CHARTREUSE]Csak a rendszer megdöntése fogja[/color].
Text/cf/text,Minden állomáson most már az új [color=DARK_ORANGE]RealityScan rendszer[/color] működik. Érzékeli a jogosulatlan jelöléseket és hamisításokat.
Text/d0/text,Minden dokumentumot szkennelni kell jóváhagyás előtt. Az [color=CRIMSON]árulókat kigyomláljuk[/color]. Garantálom.
Text/d1/text,"Az ellenállás tagjainak segítése most sokkal veszélyesebbé vált, de [color=CHARTREUSE]az igazságnak terjednie kell[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
