keys,pt
Text/56/text,Bem-vindo à nação da Batata. Uma terra de [pulse freq=2][color=MEDIUM_VIOLET_RED]prosperidade para todas as batatas[/color][/pulse].
Text/57/text,Você foi selecionado para um [color=DARK_ORANGE]papel crucial[/color] na proteção das nossas fronteiras.
Text/59/text,"CONTEMPLEM! O [color=MEDIUM_VIOLET_RED]poderoso muro[/color] que protege nossa nação. Aqui você servirá, garantindo que apenas os dignos entrem."
Text/5a/text,"Ah, o novo broto. Ouça atentamente, seu papel é [color=DARK_ORANGE]vital para a segurança da Batata[/color]."
Text/184/text,O bem-estar da sua família [wave amp=20 freq=3][color=YELLOW]depende do seu desempenho[/color][/wave].
Text/5b/text,Nomeio você Oficial de Alfândega da [pulse freq=1][color=MEDIUM_VIOLET_RED]gloriosa Batata[/color][/pulse]. Alguma pergunta?
Choice/5c/text,Estou pronto para servir a Batata com todo o meu amido!
Choice/5d/text,O que exatamente acontece com as batatas rejeitadas?
Text/5e/text,Excelente! Esse é o entusiasmo que precisamos. Você pode ganhar uma distinção da [color=DARK_VIOLET]Reserva da Raiz[/color].
Text/5f/text,Elas são... [color=DARK_VIOLET]processadas[/color]. De acordo com o protocolo. A [color=DARK_VIOLET]Reserva da Raiz[/color] cuida de todos os detalhes.
Text/60/text,Concentre-se em seus deveres. [color=DARK_ORANGE]Nada mais.[/color]
Text/61/text,"Seu primeiro turno começa agora. Verifique os documentos cuidadosamente, negue a entrada àqueles que não atendem aos nossos padrões."
Text/62/text,"Cumpra sua cota, evite sanções. [color=MEDIUM_VIOLET_RED]Glória à Batata![/color]"
Choice/5d/disabled_text,
Choice/5c/disabled_text,
