keys,es
main_menu_feedback,Comentarios y errores
main_menu_version,Versión 1.2.0
main_menu_new_game,Nuevo juego
main_menu_continue,Continuar
main_menu_level_select,Selección de nivel
main_menu_score_attack,Ataque de puntuación
main_menu_options,Opciones
main_menu_credits,Créditos
main_menu_exit,Salir
select_language,Idioma
social_discord_tooltip,¡Únete a nuestro Discord!
social_steam_tooltip,Visítanos en Steam
social_twitch_tooltip,Integración de Twitch
twitch_status_disabled,Deshabilitado
twitch_status_no_viewers,Sin espectadores en el grupo
twitch_status_ready,{count} espectadores listos
twitch_connection_disabled,Deshabilitado
twitch_connection_disconnected,Desconectado
twitch_connection_connected,Conectado
twitch_connection_connecting,Conectando...
options_menu_title,Opciones
options_difficulty,Dificultad
options_difficulty_easy,Fácil
options_difficulty_normal,Estándar
options_difficulty_expert,Experto
options_music_volume,Volumen de música
options_sfx_volume,Volumen de efectos de sonido
options_camera_shake,Temblor de cámara
options_back,Atrás
paused_menu_title,Pausado
shift_summary_title,RESUMEN DE TURNO
shift_summary_continue,Continuar
shift_summary_restart,Reiniciar
shift_summary_main_menu,Menú principal
shift_summary_submit_score,Enviar puntuación
shift_summary_runner_stats,ESTADÍSTICAS DEL CORREDOR
shift_summary_document_stats,ESTADÍSTICAS DEL DOCUMENTO
shift_summary_performance,RENDIMIENTO
shift_summary_bonuses,BONIFICACIONES
_FORMAT KEYS,
time_format,{minutes}min {seconds}seg
_SHIFT SUMMARY DETAILS,
shift_complete_success,TURNO {shift} COMPLETADO\n¡ÉXITO!
shift_complete_failure,TURNO {shift} COMPLETADO\n{failure}
strike_limit_reached,¡LÍMITE DE HUELGAS ALCANZADO!
quota_not_met,¡CUOTA NO ALCANZADA!
shift_summary_title_with_difficulty,RESUMEN DE TURNO\n{difficulty}
runner_stats_template,\nESTADÍSTICAS DEL CORREDOR\nIntentos de corredores: {runner_attempts}\nMisiles disparados: {fired}\nCorredores alcanzados: {hit}\nImpactos perfectos: {perfect}\nTasa de aciertos: {rate}%
document_stats_template,ESTADÍSTICAS DEL DOCUMENTO\nDocumentos sellados: {stamped}\nPatatas aprobadas: {approved}\nPatatas rechazadas: {rejected}\nSellos perfectos: {perfect_stamps}
bonus_stats_template,BONIFICACIONES\nBonificación por velocidad de procesamiento: {processing_speed_bonus}\nBonificación por precisión de sello: {accuracy}\nBonificación por impactos perfectos: {perfect_hit_bonus}\nBonificación de puntuación total: {total_score_bonus}
performance_stats_template,RENDIMIENTO\nTiempo empleado: {time_taken}\nPuntuación esperada: {expected_score}\nPuntuación total: {score}\nPorcentaje sobre la puntuación: {percent}%\nCalificación de rendimiento:\n{rating}
performance_exceptional,¡Excepcional!
performance_excellent,¡Excelente!
performance_good,Bueno
performance_needs_improvement,Necesita mejorar
performance_poor,Pobre
global_leaderboard_title,Clasificación global\n- {difficulty}
getting_leaderboard_scores,Obteniendo puntuaciones de la clasificación...
