keys,pt
Text/69/text,Podemos conversar? Em algum lugar privado? [color=YELLOW]Muitos olhos e ouvidos por aqui.[/color]
Text/6a/text,Encontre-me perto do velho galpão de armazenamento depois do seu turno. Tenho algo que você precisa ver.
Text/6b/text,"Ficando íntimo dos colegas de trabalho? Lembre-se, tornar-se amigável pode levar a... [color=DARK_ORANGE]julgamento comprometido[/color]."
Text/6c/text,Estive coletando informações sobre batatas rejeitadas. [wave amp=20 freq=3][color=CRIMSON]Elas não vão para centros de deportação.[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]Elas vão para instalações de processamento da Root Reserve.[/color][/tornado] Cada uma delas.
Text/6e/text,Estes documentos mostram batatas sendo descarregadas em uma instalação marcada com o logo da [color=DARK_VIOLET]Root Reserve[/color].
Text/6f/text,Acho que sei o que está acontecendo. [pulse freq=3][color=CRIMSON]Elas estão se tornando Root Reserve.[/color][/pulse]
Choice/70/text,Isso é insano. Eles... estão processando batatas em comida?
Choice/71/text,Precisamos de mais evidências antes de fazer acusações.
Text/72/text,[color=CRIMSON]Canibalismo com etapas extras.[/color] Isso é o que [wave amp=25 freq=3][color=DARK_VIOLET]Root Reserve[/color][/wave] é. E temos ajudado a selecionar seus ingredientes.
Text/73/text,Tenho coletado evidências há meses. Mantenha seus olhos abertos. Você verá que estou certo.
Text/74/text,Um alarme distante soa de repente
Text/75/text,Precisamos ir. Eles fazem varreduras de segurança neste horário. Pense sobre o que te mostrei.
Text/76/text,"Sasha enfia a pasta em suas mãos. ""[color=YELLOW]Mantenha isto seguro. E não confie em ninguém.[/color]"""
Text/77/text,Você esconde a pasta dentro da sua jaqueta. [color=DARK_VIOLET]Root Reserve[/color]. As rejeições. As batatas desaparecidas. Tudo se conecta de uma maneira [tornado radius=3 freq=2][color=CRIMSON]horripilante[/color][/tornado].
Choice/71/disabled_text,
Choice/70/disabled_text,
